FEN,Move
4R3/8/p2k2p1/r1pp1pP1/5P1K/8/8/8 w - - 0 44,e8g8
8/8/P5Np/5p1P/3k1P2/8/1PB3P1/1K6 b - - 0 49,d4d5
r3k2r/pp1nqppp/2pb1p2/3p1b2/8/P2P1NP1/1PPNPPBP/R2QK2R w KQkq - 1 9,f3d4
rnbq1rk1/pp1p3p/4pp2/2p1P1p1/2P4P/2NP4/PP1QBPP1/R3K2R w KQ - 0 13,c3e4
3r2k1/pp3pp1/8/4R2p/5KbP/2P5/PP3r2/6R1 w - - 4 26,f4e3
1r1q2k1/p1p2pbp/1p1p1np1/3Pr3/2P5/2NB3P/PP1Q1PP1/R4RK1 b - - 1 16,f6d7
rn2kbnr/pp3ppp/4pq2/3p4/3P2b1/5NP1/PPP2PBP/RNBQ1RK1 w kq - 0 8,c2c4
r1k2r2/p1p1p2p/1p2P1p1/1P6/8/8/P4PR1/QNq2BK1 b - - 3 29,f8d8
r2qkb1r/1pp1n1pp/p1N1pp2/1B1p1b2/3P3B/4P3/PPP2PPP/RN1QK2R b KQkq - 0 8,e7c6
8/5r1p/2R1R3/1pp3k1/8/5p2/PPr3PP/5K2 b - - 1 41,f3g2
4r1k1/p6p/6p1/8/5P2/3P2Q1/1q4PK/2q5 b - - 1 34,e8e1
r5k1/1p2b2p/2p2pp1/p2n4/3PN3/P3B2P/1P3PP1/5K2 b - - 3 28,f6f5
r3r1k1/ppN3bp/n1p2pp1/4p2n/4P2P/2N1B3/PPP2P2/3RK2R w K - 4 16,c7e8
6k1/R5p1/p1pN1r1p/PpPb1p2/1P6/5P2/6P1/6K1 b - - 2 34,f6e6
r1b2rk1/pp1p1pp1/2n1pq1p/8/2B5/2PQ1N2/PP3PPP/R3K2R b KQ - 2 13,d7d5
rnbq1rk1/ppppbppp/4p3/3n4/3P4/4PN2/PPP1BPPP/RNBQ1RK1 w - - 5 6,c2c4
1kb5/p4ppp/1p6/5P2/4P3/1P2KP2/P1r4P/1R6 w - - 1 30,b1d1
1r3rk1/2p1qppp/4p3/pp2P3/4N1P1/8/PPPR1P1P/2KR4 b - - 1 19,e7h4
rn1qk1nr/pp2p2p/2pp1bp1/8/3PP3/7Q/PPP2PPP/RNB1K2R b KQ - 0 9,f6d4
2krr3/pp5p/6p1/7Q/1PP5/4PN2/1P2KP1P/R5R1 b - - 0 21,g6h5
r2q1r2/pbpp1ppk/1p4Np/3P4/2P3n1/3B4/PPQN1PPP/R3R1K1 b - - 0 15,f7g6
r2qbrk1/p5pp/2n1p1n1/3pPp2/2pP1P2/b1P1BNP1/P2NB1RP/R4QK1 b - - 4 17,d8a5
4r1k1/4q1Bp/pp2N1p1/5p2/2P1b3/1P6/1P3QPP/3R2K1 b - - 0 31,e7e6
r1b1r2k/pp3p1n/3Bp3/2p2n2/8/1B1P4/PPP2PPP/RN2K2R w KQ - 1 20,d6c5
6r1/r2p1p2/1p3R2/pP6/P6k/4P3/1n3P2/5K2 b - - 2 43,b2a4
r1b1kb1r/2p2ppp/ppPp1q1n/4p3/2B1P3/2P2N1P/PPQN1PP1/R1B2RK1 b kq - 1 13,g7g5
r5rk/p1p2qpp/2pp1p2/1b3P2/4P3/1PN1B1Q1/P1P3PP/2KRR3 w - - 1 22,g3f2
r2qk1nr/pp4pp/2nb1p2/3Bp3/1P2P3/P3B3/4NPPP/2RQ1RK1 b kq - 2 14,g8e7
8/8/pR2r1k1/2p1q2p/8/7P/1PP3P1/5R1K w - - 3 30,b6b3
r7/pp4pk/2prb3/3p4/6P1/2N1nPKp/PPP5/R4R2 w - - 3 23,f1h1
2r3k1/5ppp/p1R1q3/1p1np1P1/3nN2P/1P6/P2BPP2/3QK1R1 b - - 0 27,e6c6
6R1/8/8/8/5K1k/8/8/8 b - - 19 58,h4h5
rn1qkb1r/1p1b1ppp/5n2/1NpP4/P7/8/1PP2PPP/R1BQKB1R b KQkq - 0 9,d8e7
2r5/p7/3k3r/3Pb2p/5p1P/1P1K1Bp1/P5P1/3R4 b - - 0 32,c8c3
rnbqk1nr/ppp2ppp/3bp3/8/3P1B2/5N2/PPP2PPP/RN1QKB1R w KQkq - 4 6,f4g3
rnb1k2r/pp1qppbp/3p1np1/8/3NP3/2N1BP2/PPP3PP/R2QKB1R w KQkq - 1 8,d1d2
4rk1r/ppp4p/6p1/2P2p2/8/PPb5/5PPP/3R2K1 w - - 2 29,g2g3
2kr3r/ppp2ppp/8/2b5/5B2/2NP1P1b/PPP4P/2KR3R b - - 4 16,h3g2
8/ppp3bk/6Bp/8/2PP4/Pr6/K7/R7 b - - 0 47,h7g6
r2qk2r/ppp1bpp1/2npbn1p/4p3/4P3/1P1P2P1/PBPN1PBP/R2QK1NR w KQkq - 0 8,g1f3
r2q1b1r/pp2kppp/5n2/1BQbN3/8/8/PPP2PPP/RNB2RK1 b - - 0 11,d8d6
3rk2r/1pp2p2/p3b2p/4n1p1/8/2P1B1P1/PP6/RN2R1K1 w k - 0 18,b1d2
rnbq1rk1/1ppp1ppp/4pn2/8/pbBPP3/2N2Q2/PPPB1PPP/R3K1NR w KQ - 5 7,a2a3
r3k2r/2q4p/p1ppP2B/2n1bb2/8/2P5/PP2Q1PP/RN3RK1 b kq - 3 19,f5e6
r2qk2r/ppp2pp1/2npbn1p/2b1p3/4P3/2PP1N1P/PP1NBPP1/R1BQ1RK1 w kq - 1 9,b2b4
r5k1/pp4p1/2p1p2p/8/2B3b1/2P5/P4KPP/RN6 b - - 0 19,a8d8
8/1pp5/p5kp/3p4/PP1PrKPp/2P4R/8/8 w - - 4 31,f4f3
4r1k1/1p4pp/p3Np2/4P3/5K2/8/r5PP/8 w - - 2 27,e6g5
8/p5k1/3r2p1/3NKp2/4n1p1/1B6/6P1/8 b - - 3 37,d6d8
rn2k2r/ppp1qp2/5np1/3p3p/3P3P/1PN1bP1R/P1PNQ3/R1B1K3 b Qkq - 1 12,b8c6
rn4r1/p2kp1bp/bp1p4/8/K7/2q5/P4P1P/8 b - - 1 25,h7h6
1r5r/p5bp/5pn1/8/5Q1k/2N3R1/PPP1B1PP/6K1 b - - 16 26,g6f4
8/2k3pp/p1p1pn2/4p3/Pr1p4/5P2/5PKP/2R5 b - - 6 27,d4d3
3r4/p3nkpp/1p2bp2/4p3/1P1qP1B1/P2P3P/4QPP1/2rR2K1 w - - 0 23,g4e6
r1bq1rk1/1p1nppbp/p2p2p1/2p1n3/P3P3/2NP3P/1PP2PPN/R1BQRBK1 b - - 2 11,b7b6
r4rk1/1bqnbppp/p2ppn2/1p6/2PNP3/1P1B4/PB1NQPPP/2R2RK1 b - - 0 13,b5b4
5rk1/ppp3pp/3p4/2PP4/1P2n3/PB2Q2P/R5P1/5qK1 w - - 1 29,g1h2
3r4/1pp5/p3k3/8/3N3P/5r2/PPK4R/7R b - - 0 31,d8d4
6k1/Qp3qp1/5b1p/8/5N2/P5BP/1P3PP1/4r1K1 w - - 2 31,g1h2
rnb1kbnr/pppp1ppp/5q2/4P3/2P5/4P3/PP3PPP/RNBQKBNR b KQkq - 0 4,f8b4
3r1b1r/ppN2kpp/4bn2/8/2p5/5P2/PPPP1P1P/R1B1R1K1 b - - 0 14,e6d7
5rk1/p6p/2p5/2Pp2p1/P3p1qP/4PrP1/3Q1PK1/1R3R2 w - - 0 26,h4g5
2k2r1r/pppqbp2/3p4/7n/2N1P2p/2NP1Q1R/PPP2P2/2K4R w - - 7 19,c4e3
r2qk1nr/pp3ppp/2nbp3/3p3b/3P1B2/2P2N1P/PP1N1PP1/R2QKB1R w KQkq - 1 9,f4d6
r3rn1k/6bp/p5q1/6B1/1ppPn3/P1P5/1P1Q4/2K2R1R w - - 0 30,a3b4
r1bqk1nr/pp1p1ppp/2P5/4p3/4P3/5Q2/PPPN1PPP/R3KB1R b KQkq - 0 8,g8f6
rnbq1rk1/ppp3bp/3ppnp1/5p2/2PP4/1QN1PN2/PP2BPPP/R1B2RK1 b - - 1 8,b7b6
8/6pk/p5p1/7p/PPq5/5P2/3Q2P1/6K1 w - - 3 52,d2b2
r3kb1r/pp3ppp/2b1p3/3pP3/8/P1NQnN2/1qP2PPP/R4RK1 w kq - 0 13,f1b1
1k6/3R4/pN6/1p2pP2/3bP3/7P/P1r4P/5R1K w - - 4 30,b6d5
2r3k1/ppq2pbp/4r1p1/2PQn3/1B6/8/P3BPPP/3R1RK1 b - - 0 21,e5c6
8/8/8/3P4/1P3k2/3Q1P2/4K3/8 b - - 0 58,f4g5
4rrk1/7q/2p1P1pB/pp1p1p2/3Pn1P1/4Q2B/P1P5/5RK1 b - - 0 33,f8f6
rnbq1rk1/ppp1ppb1/3p1np1/7p/3PP2P/2PBB3/PP3PP1/RN1QK1NR w KQ - 1 7,f2f3
8/p7/Bp5k/2p5/6pp/P7/1PP3P1/2K5 b - - 1 43,h6g5
r2qkbnr/pppbpp1p/6p1/3pP1N1/1n1P4/3B1Q2/PPP2PPP/RNB2RK1 b kq - 3 8,g8h6
8/3bk3/4p2p/pPp3p1/4B1P1/5P2/PP3KP1/R7 b - - 0 38,d7b5
4r3/p2p3k/7p/1p3p2/8/3P4/qPQ2K1P/4R3 b - - 1 33,e8e1
r1bnk2r/pp1pbppp/5n2/4p1B1/2P5/2N5/PP2PPPP/R3KBNR w KQkq - 4 8,g5f6
4r3/7p/6k1/5pp1/5q2/3Q1P2/PPP3PP/1K3R2 b - - 1 32,f4h2
1k1r1b1r/pppqn2p/2n1bp2/4pP2/3pP3/3P4/PPP1NNBP/R1BQ1RK1 b - - 0 13,e6f7
3n1rk1/pr1b1pbp/1p1p2p1/3P4/1P6/1B3N1P/P2Q1PP1/1RR3K1 w - - 5 22,b3d1
2Q5/6pp/p3nk2/1p1B1p2/2p5/P5P1/1PPB1PKP/8 w - - 3 38,h2h4
8/2kN1p2/3pp3/1p1n4/4N3/PK6/1PP4r/8 w - - 9 48,d7f8
8/pp3pk1/2bR3p/4r3/8/7P/PPP2RPK/8 w - - 0 30,d6f6
rnbqkb1r/1p3pp1/2p1p3/3p4/5P1p/pPN1PNnP/P1PPB1P1/R1B1QRK1 w kq - 5 12,f1f2
8/pp6/4k3/2ppP3/P4K2/2P5/1P6/8 b - - 0 35,c5c4
1Q5r/4kppp/2q1p3/3pP3/3P4/2b2N2/5PPP/r4RK1 w - - 2 20,b8b4
5rk1/p3nr1p/6pQ/2p2q2/2P5/P7/4BPPP/5RK1 b - - 2 35,f5f4
rn3rk1/ppp1n1p1/1b2p2p/4N3/P2P4/2N5/1P3qPP/R1BQR2K b - - 1 14,b8c6
2kr4/ppp4b/2nr3p/4ppp1/P3n3/2P1BNP1/1P3PBP/R3R1K1 w - - 0 19,h2h4
r2q1rk1/pp1n1ppp/2pb1n2/3p1bN1/3P4/P1N1PP2/1PPB3P/R2QKB1R b KQ - 2 11,f8e8
r2q1nk1/ppp2rpp/3p1p2/3P3P/4P3/2Q1BP2/PPP5/2KR2R1 w - - 1 20,d1e1
rn2kbnr/ppp1pppp/2q5/8/6P1/2NB3P/PPPPQP2/R1B2RK1 b kq - 5 11,c6d7
6k1/p4ppp/1p6/2b1P3/2p1P3/2P1qKP1/PP2N2P/5R2 w - - 1 27,f3g4
8/6k1/2n4p/p2pPQ2/3P4/2P4P/r5P1/6K1 w - - 0 33,f5g4
2b2bk1/3q1p1p/pQ2p1p1/1p1pP3/3P4/P2B2P1/1P2NP1P/6K1 w - - 9 28,b6a5
r4k1r/pp2pp1p/6p1/1B1P4/3nP1b1/P3KN2/5PPP/R6R b - - 4 17,d4b5
5rk1/p1p1q2p/4p1p1/2b1P3/Pp6/1Q1N4/1P4PP/2R4K w - - 0 26,d3c5
rnb1kb1r/pp1p1ppp/1q2p3/8/2P2n2/1PNQ4/PB2B2P/R3K1NR b kq - 3 11,f4d3
8/pBpk3p/7p/8/P7/6P1/1bP2P1P/6K1 b - - 0 29,h6h5
rn2k1nr/ppq1ppbp/2pp2p1/8/3PPP2/3B1b1P/PPP3P1/RNBQ1RK1 w kq - 0 8,d1f3
r4r2/pp4k1/2bb3p/3pp1pP/2P3K1/1P3PP1/P7/4R3 b - - 0 28,c6d7
8/8/7p/1p2N2P/2p2p2/p1nk4/5K2/8 b - - 1 50,d3e4
r4rk1/pp3ppp/4p1n1/8/2PP4/P1q4P/4BPP1/R2Q1RK1 w - - 0 21,f1e1
r4rk1/pp2nppp/2n1p3/5q2/2QP4/4BN2/PP3PPP/R4RK1 b - - 0 14,h7h6
r1bq1rk1/2b3pp/pp6/2p1Pp2/3p1Pn1/P2N2PN/1PPQB1P1/2KR3R b - - 1 21,h7h6
r3r2k/7p/ppbqpQp1/3p1p2/1P1P4/P2B1P2/6PP/R4RK1 b - - 4 21,h8g8
r1b1r1k1/1p3ppp/5n2/pPPP3q/2B5/Q4p2/P4PPP/R3R1K1 w - - 0 21,a3f3
r2qkb1r/ppp2pp1/3p1n2/4p1Q1/2B1P2p/3P4/PPP1NPPP/R1B2RK1 b kq - 0 11,h4h3
1k6/2p4r/K6P/P6b/8/8/8/8 b - - 0 51,h5e2
r4rk1/5pp1/pp1q1n1p/2p2b2/8/2PP1N2/P1Q1BPPP/R4RK1 b - - 1 19,b6b5
1Q3rk1/p4ppp/4p3/2P5/2B5/4P3/1PK2PPP/q2R3R b - - 0 19,a1a5
r1bq1rk1/p2n1ppp/2p1p3/1p6/n1pPPN2/2P4P/5PPB/R2QKB1R w KQ - 0 14,d1c2
2k5/p3p2p/1p1r1np1/2p5/2P5/1N5P/PP2BPP1/2R2RK1 w - - 0 23,f1e1
r4k1r/ppp3n1/5Pp1/2pQ4/2P3P1/5N1P/PP3P2/2K2B1R w - - 0 25,f3g5
r1bqkb1r/1p3ppp/p1n5/3pP3/B2P4/5N2/P4PPP/R1BQK2R b KQkq - 1 11,b7b5
5b2/2p4p/1pk5/5p1P/PKP1p3/4P3/5B2/8 w - - 1 42,b4c3
6k1/1n3pp1/4p2p/8/8/4P3/p4PPP/3K4 w - - 0 34,g2g4
8/pp1k1pp1/8/7r/8/P1N5/3B2PP/1B1KR3 b - - 8 33,d7d8
2b2rk1/r4ppp/p3p3/qp6/P3Q3/1P2P3/4NPPP/3R1RK1 w - - 2 21,e4e5
r3r1k1/5pp1/2p1nb1p/2Pp4/p2P1N2/3RB1P1/1P3P1P/R5K1 w - - 8 27,f4e6
r1bq1rk1/pp5p/4p1p1/3pbB2/8/P1N1B3/1PQ2PPP/R4RK1 b - - 0 15,f8f5
r4nk1/pp1bP3/2p3q1/3p2N1/3Pp1PQ/2P4P/PP6/R4RK1 b - - 0 27,b7b6
r4rk1/pppnbppp/4p3/q7/3PQB2/5N2/PPP2PPP/R3R1K1 b - - 0 12,a5b5
5r1k/ppR3pp/3P4/1P2P3/8/4p3/P4rPP/R5K1 b - - 0 25,e3e2
8/6R1/3bpk1p/3p4/3Pb3/5N1P/5PP1/6K1 w - - 0 33,g7d7
4r1k1/p1Q2pp1/7p/2nq4/2P5/3P4/PP4PP/1K1R1R2 b - - 0 22,c5a6
8/RP1R4/6p1/4p1k1/3pPb2/3P4/1r5p/7K b - - 1 46,b2b1
r2q1r2/pppnbpkp/3p1npN/8/4P3/2N1BP2/PPP3PP/R2Q1RK1 w - - 2 12,d1d2
r1bqk2r/pp3ppp/1nn1p3/3pP3/2pP1P1b/1PN1B1P1/P1PQN3/R3KB1R b KQkq - 0 11,h4e7
5rk1/1pp2qp1/p2p4/6B1/1P1Q4/P2P3P/5P1K/5R2 b - - 0 29,c7c5
8/8/8/p7/Pk6/6N1/7K/8 w - - 1 70,h2g1
5rk1/pp1n2p1/2p4p/8/3P4/2P5/PP3P2/4nK2 w - - 0 29,d4d5
3r1rk1/p1p3pp/2p1pq2/8/3bP3/7P/P1P1Q1P1/1N1R3K b - - 2 18,d4e5
r2kr3/ppp4p/2nb1p2/4p2b/6P1/2P2NB1/PP2BPP1/R4RK1 b - - 0 16,h5g4
1k1r3r/pppqn1pp/3p1np1/4p3/P1B1P2P/1N1P1Q2/1PP2P2/R3K1R1 b Q - 0 16,d8e8
r4rk1/1pp2ppp/pb1p1q2/3P4/4PP2/2N3P1/PP5P/R2Q1R1K b - - 0 18,a8e8
3r1r1k/1pp2pp1/4q2p/N3P3/5B2/1PP3Q1/P6P/R6K b - - 4 31,e6d5
r1b1kb1r/pppp1ppp/2n5/4p2n/2B1P3/2N3PN/PPPP1P1P/R1B1K2R b KQkq - 0 7,d7d5
r2q1rk1/pp2bppp/2n1bn2/1B1p4/3p4/1P2PN1P/PB3PP1/RN1Q1RK1 w - - 0 11,f3d4
5rk1/1R3p1p/5pp1/8/5B2/Q2b2PP/5PBK/8 w - - 0 36,f4h6
r4r2/p3qpbk/1p1p3p/2p1p3/3PP3/1QP1PNN1/PP1R2K1/3R4 w - - 1 23,d4c5
5r2/1pp4p/2k5/5N2/1nP5/8/P4P1P/3R1K2 w - - 0 29,f5d4
7r/ppqnnk1r/5p2/3p4/6p1/2N5/PPPQ2B1/2KRR3 w - - 0 27,e1e7
2r3k1/pp1qbrp1/5p2/2Pp4/1P1P4/2NQ3P/P4PP1/R3R1K1 w - - 0 25,b4b5
5b2/1pp2B1p/p1b4k/5p2/2P5/P1N1P2P/1P4r1/3R1K2 w - - 0 28,c3e2
r1q1kr2/p1npn1Qp/1p6/8/4P3/8/PPP2PPP/RNB2RK1 w q - 1 14,c1g5
3Q4/5pk1/2q1p1p1/4P3/7p/8/1K6/8 w - - 0 53,d8f6
8/1b1P3k/5r1p/3PpPp1/p3PpP1/Pp3K2/1P6/3R1B2 b - - 0 43,f6f7
5k2/5p2/pp2Q1p1/6P1/1P2P3/5K2/8/8 b - - 0 43,f7e6
rnbqk2r/ppp1nppp/3bp3/3p4/8/3PPP2/PPP1N1PP/RNBQKB1R w KQkq - 3 5,f3f4
1r1r2k1/3q3p/p3N1p1/1p6/4pB2/1P6/P4RPP/5R1K w - - 2 29,e6d8
1k6/ppp4N/8/3p4/6qp/1P6/P1P5/1K6 w - - 4 41,a2a3
8/8/8/1Pk5/4K3/8/8/5B2 b - - 12 62,c5d6
r2qr1k1/4bpp1/p1n1bn1p/2p5/2Pp3B/PP1B1N1P/3N1PP1/R2Q1RK1 b - - 0 17,f6h5
r1bq1r2/1p2ppkp/p2p2p1/8/3Q4/1P6/P1P1BPPP/1R2R1K1 b - - 0 14,e7e5
r3kbnr/1p1q1ppp/p1npb3/2p1p3/4P3/2PPBN1P/PPB2PP1/RN1Q1RK1 b kq - 5 11,d6d5
3r3k/p1p1bp1p/1p4q1/8/8/1R2P1PR/P4PPK/3r1Q2 w - - 18 30,f1c4
2r5/2r1pp1p/2Rp1kp1/1P1P4/2P5/6P1/5P1P/R5K1 w - - 1 35,a1a5
1r4k1/6pp/p3Nn2/8/2bP4/2P5/PP3RPP/6K1 b - - 4 26,c4e6
r3k3/pppb3Q/8/8/1b1p4/2P2q2/PP1K4/R7 b - - 0 20,d4c3
4nk2/p2b1ppp/1p6/3Nb3/1P3B2/P5PP/5PB1/6K1 b - - 2 31,e5f4
r2q1rk1/1bpnnpb1/p2pp2p/1p4pP/4P3/1BPP1NN1/PP3PP1/R1BQR1K1 w - - 0 14,a2a4
rnbqk1nr/ppp2ppp/4p3/8/3PpP2/2b5/PPP3PP/R1BQKBNR w KQkq - 0 6,b2c3
r6r/2qnkppp/3pp3/p6b/Bp1BP3/3P3P/1PPQ1PP1/R4RK1 b - - 1 19,f7f6
3r2k1/6pp/p1p5/1pRnqp2/8/PP1QP3/5PPP/3R2K1 w - - 0 23,c5c6
rnb1k2r/ppp2ppp/1b3n2/3qp3/1P6/2P2P2/P2PB1PP/RNBQK1NR w KQkq - 1 7,c1b2
b4rk1/3qb1p1/B1n2n1p/8/1p6/2P2NB1/PP2QPPP/R4RK1 b - - 0 21,g8h8
rnb1kbnr/ppq2ppp/2Pp4/4p3/2B1P3/5Q2/PPP2PPP/RNB1K1NR b KQkq - 0 6,b7c6
r1bqkb1r/pp3ppp/n1p1p3/8/3PQ3/2P2N2/PP3PPP/R1B1KB1R b KQkq - 0 8,d8d5
r1bqk1nr/pp1p1pbp/2n1p1p1/2p5/4P2P/2PP1Q2/PP2BPP1/RNB1K1NR b KQkq - 2 6,h7h6
8/R5pk/1r5b/P7/3P3R/3n4/8/6K1 b - - 0 48,b6b2
8/r4p2/4pn1p/R1Pp1kp1/P2P4/1N3PP1/7P/6K1 b - - 0 31,a7e7
3r1rk1/1b4b1/p3p2p/3pPp1R/2p2B2/2P1PNP1/PP2B1P1/2K4R b - - 0 23,b7c6
2rqr1k1/1p3pp1/p1p1b1np/3nP3/2QN4/1B4NP/PP3PP1/R3R1K1 b - - 4 22,d8g5
4r1k1/5ppp/1pp5/2q3P1/6P1/4PK2/4R3/8 w - - 5 36,g5g6
rnbqk1nr/1ppp1ppp/p7/b7/3P1B2/2N2N2/PP2PPPP/R2QKB1R b KQkq - 1 6,g8f6
5rk1/p3ppbp/6p1/8/2r2P2/7P/P4PP1/1R3RK1 w - - 0 24,g2g3
4r3/pp5p/2kp4/1NP5/P4p2/4p3/4K1PP/7n b - - 0 26,d6c5
1Q2kr2/4b1pp/4b3/4p3/8/8/PPP3PP/R1B2RK1 b - - 7 25,e8d7
r1bqk2r/p2pbppp/2p2n2/4p3/2P1P3/2N1B3/PP3PPP/R2QKB1R b KQkq - 2 8,e8g8
r1b1kb1r/1pp1qNpp/p1np1n2/4p3/2B1P3/8/PPP2PPP/RNBQ1RK1 w kq - 4 9,f7h8
r1bq1b1r/ppp1kBp1/3p1n1p/n3p1N1/3PP3/BP6/P1P2PPP/RN1QK2R b KQ - 0 8,h6g5
rnbqk2r/pppp3p/5p1p/4P3/1bBp4/5Q2/PPP2PPP/RN2K1NR w KQkq - 1 7,c2c3
8/5k2/7R/8/8/p4K2/r6P/8 w - - 0 47,h6h8
7r/pp1bkp2/3p2p1/2p5/4PN2/3P1PR1/PPP3KN/8 b - - 2 35,e7e8
8/8/5Pk1/4R3/2B4P/5PP1/6K1/8 w - - 1 48,h4h5
3r1rk1/p1p2ppp/2pp1q2/4p2b/3PP3/2PQ1N1P/PP3PP1/R3K2R w KQ - 3 15,d4e5
rnbqk2r/ppp1npbp/4p1p1/6B1/3Pp3/2N2N2/PPPQ1PPP/R3KB1R w KQkq - 0 7,c3e4
4rr1k/p1p3pp/2pq2p1/8/4Q1Pb/3P3P/PPP2P2/3RBRK1 b - - 14 22,e8e4
4rbk1/pp2q2p/2p3p1/3p4/6Q1/1P6/P1P2RPK/8 b - - 3 28,e7e5
5rk1/pp5p/2p3pQ/8/2NPp2P/2P5/PP2Kq2/8 w - - 0 33,e2d1
r5k1/pp4pp/3r4/2p5/3p1B2/3P3P/PPP3P1/2KR1B1R b - - 0 22,d6a6
2rq1rk1/pp2ppbp/3p1np1/8/1nPN4/2N1P3/PP2QPPP/R1B2RK1 w - - 3 13,f1d1
4k3/8/2K5/1PB2p1p/2P2PpP/6b1/8/8 b - - 0 47,g3f4
8/3b4/pp6/2pP4/2P3p1/1P4Kp/P1k4P/8 w - - 4 43,g3f4
r1bqk2r/5pp1/p1n1pn2/1p1p3p/8/1P1BPNP1/P1PN1PP1/R2QK2R w KQkq - 0 12,a2a4
r1b2rk1/3pnpp1/2p1q2p/2P1p2P/pp2P1P1/4PN2/PPPQ4/1K1N1R1R b - - 1 17,e6g4
8/8/5R1p/8/5PPK/1k5P/3r4/8 b - - 0 40,d2c2
r1bqrnk1/ppp1bppp/5n2/8/8/2P1PN2/PPQBB1PP/RN2R1K1 b - - 11 13,c8g4
rnb1kbQ1/3p2p1/2p4p/1p2q3/p7/P1N5/BPP2PPP/R4RK1 w q - 0 17,a1e1
8/p7/1p1k4/nBp4Q/8/5KP1/P1r4P/8 b - - 7 40,a7a6
r4b1r/pppk2p1/2n1p2p/2qp3Q/2P1P2N/8/P2N1PPP/R4RK1 w - - 2 16,e4d5
2Nr1k2/5ppp/1R3n2/p3p1q1/8/P1P2P2/2Q3PP/4RK2 b - - 0 31,d8d2
r4rk1/pb3ppp/1pn1pn2/2b4P/2Bq2P1/3PB2N/PP3P2/RN1QK2R b KQ - 2 13,d4e5
8/8/p7/1p6/7p/P1k4P/5K2/8 w - - 3 53,f2f3
3k4/7R/p5p1/6N1/7P/4q1P1/P1R4K/8 b - - 0 38,e3b6
r1bq1k2/1pp2p2/pnPp2p1/3Pp1P1/1P2P1p1/2N3N1/P4PP1/R2QK2r w Q - 0 22,g3h1
3rk2r/ppp1N1pp/4Qp2/8/8/8/PP2PPPP/R1B1KBNR b KQk - 0 11,d8d6
4rrk1/pp4pp/3p1p2/6N1/1NP5/8/PP3Q2/R5K1 w - - 0 20,a1f1
8/pp3k2/8/7p/P2rN3/1P3p2/2Pn2K1/3R4 w - - 0 33,g2g1
2r4k/pq4p1/1p3p2/1P5p/P4Q2/5NPP/5K2/4R3 b - - 0 38,b7d5
1r1q1rk1/pp3ppp/2np1b2/3Qp3/2P1P3/1N6/PP2BPPP/R3K2R w KQ - 1 13,g2g3
rnbqk2r/1pp2ppp/pb2pn2/1P1pN3/3P4/P1N1P3/2P2PPP/R1BQKB1R b KQkq - 0 8,b8d7
3r2k1/R4p1p/P5p1/7b/2p2P2/7r/2K5/8 b - - 0 32,d8d3
5R2/p7/5p2/8/2pk2KP/8/8/8 b - - 3 47,d4d3
8/2k2p2/p1p3p1/3P1b1p/1P5P/P1K3P1/4rP2/5R2 b - - 0 33,c6d5
5rk1/2p3pp/p1N1n3/4p3/7P/2P2PK1/Pr6/R2R4 w - - 0 26,d1b1
r4rk1/1p1qbpp1/p2p1n1p/8/3QP2B/2N5/PP3PPP/3RR1K1 b - - 3 16,f8e8
3n4/6bk/3p1q1p/3Pprp1/8/5N1P/3B1PP1/1Q3RK1 w - - 4 27,g2g4
3k1B1q/p7/6Rr/1B2p3/4N1b1/1P2P1P1/P5Q1/5RK1 w - - 1 36,g2d2
8/1b5k/1p6/5pp1/1B1Pp3/P3K1P1/7P/8 b - - 1 39,h7h6
N1k2r2/pp4p1/b4pB1/3p4/8/2P5/PPK2R2/8 w - - 8 34,f2f5
rnb4r/pp4pp/2pk4/3p1p2/3P4/2N3P1/PP2PPBP/2RQ1RK1 w - - 0 13,b2b4
8/4k3/p6p/1p2p3/2p1r1P1/2P4P/P1R5/6K1 b - - 0 41,a6a5
1b3rk1/p4ppp/bpQ1q3/8/4NP2/3PB3/PPP3P1/4RRK1 w - - 5 23,c6e6
5k2/8/pb5p/1p6/2n4P/P7/2P1K3/8 b - - 0 36,c4a3
r1bqk2r/ppp2ppp/4p3/4p3/3N4/2NB4/P4PPP/R1BQ1RK1 w kq - 0 11,d4f3
8/7k/5p1p/1K6/3PPp2/7P/1P2nPP1/8 b - - 0 41,e2d4
8/6pk/pp5p/4P3/1P2Q3/P4Pp1/7q/4K3 b - - 3 42,h7h8
r2qk1nr/ppp2pbp/2n3p1/3Pp3/4P3/4BB2/PP3PPP/RN1QK2R b KQkq - 0 9,c6d4
2r5/6kp/p2p1bpq/1p1Bp3/4P1Q1/P5PP/1P3PK1/4R3 b - - 2 29,c8c7
1r4k1/p4p1p/1pq1p3/2p3p1/8/1Pn2NP1/P1P2PKP/3R4 w - - 0 25,d1d3
8/4P3/7k/8/1p3P2/2p3K1/P7/8 w - - 0 38,f4f5
1rb2rk1/1p1pbppp/1p2p3/1P2P3/P4P2/7N/2R3PP/R5K1 b - - 0 26,d7d5
r2q2k1/5pbp/p2p2p1/1p3P2/2pnP1Q1/2N5/PP3P1P/1BKR2R1 b - - 1 19,a8b8
r4rk1/4bppp/p2p4/2pPp3/1pP1P1q1/1P1KB1N1/P2Q3P/3N2RR b - - 1 20,g4d7
8/kppn4/8/P4Q2/P1pPp3/1KP5/3P4/3R4 w - - 0 35,b3b2
