FEN,Moves
2k2r1r/2p4p/3pb1pP/4p3/3bP3/3PqPQ1/2K5/q4BN1 b - - 1 34,e3c1 a1c1
6k1/2q3p1/8/8/8/8/4K3/r1q4b b - - 1 56,c7c2
8/8/8/2Q5/3P1k2/7Q/P2K3R/8 w - - 1 67,c5f5 c5e5
K5k1/P7/3b3p/2p1q3/8/8/q7/8 b - - 0 44,e5d5 e5e4 a2d5 a2g2
K7/7p/8/7k/8/1q6/8/1q6 b - - 7 49,b3b8 b3b7 b3a4 b3a3 b3a2 b1a2 b1a1
8/3K4/8/2q5/3b4/1k2q3/8/8 b - - 3 83,e3e7
Q5QQ/8/8/1Q6/8/1P2k3/2P5/2KR3R w - - 1 47,h8d4 g8g3
6k1/5pp1/2p5/1p1p4/1K1P4/4q3/2P5/q7 b - - 3 47,e3c3 e3a3 a1c3 a1a3
2R1R1R1/5P2/R7/8/8/3k4/8/2R3K1 w - - 1 62,c8d8 a6d6 c1d1
1nbq2k1/1r4B1/p1p3Q1/1p2pp2/1P2P1p1/N1P5/P4PBP/2RQK2R w K - 2 23,d1d8
8/8/8/8/2p2N2/2k2K2/Qp6/1Q6 w - - 5 68,a2b2 b1b2
8/3k4/8/4Pq2/7K/8/8/6q1 b - - 5 63,f5h7 f5g4 g1g5 g1g4 g1h2 g1f2 g1e1
6Q1/3N4/2p2Q2/3p3p/3P4/6Pk/1P5P/7K w - - 2 53,g8e6 f6e6 f6f5 f6h4 f6f1
r4rk1/3K4/6p1/5p2/8/8/6q1/q1q1q2q b - - 1 64,f8d8 a8d8 g2c6 g2d5 g2d2 c1c6 a1d4
3Q1r1k/6pp/1p6/8/1PQ5/2P4P/P3n2K/R7 w - - 3 30,d8f8
6k1/6p1/7p/p7/8/1q6/2q5/6K1 b - - 1 57,b3b1
8/1kp5/7K/2q1nq2/8/8/8/8 b - - 3 56,f5g6 c5f8
3Q4/1p3Qqk/n6p/2p1rp2/1p6/P2B3P/6P1/5RK1 w - - 3 34,d8g8
5Q2/7k/1q5p/p7/2pP2Q1/1p2P3/5P2/6K1 w - - 7 45,f8g8 f8g7 g4g8 g4g7
8/4k3/8/7p/2q3p1/8/6K1/q3q3 b - - 1 60,c4e2 c4c2 c4a2 e1g1 a1b2 a1a2
7Q/8/1p6/8/5P2/4PK2/k7/2Q5 w - - 1 62,h8g8 h8b2 c1b2
3Q4/KP5p/2Q3p1/4pp2/5k2/4p2P/B4nP1/8 w - - 1 51,c6f3
5Q2/pkp5/7Q/1K6/2p5/2P5/8/6qq w - - 0 39,h6a6
8/8/7K/4r3/4k3/6r1/8/5r2 b - - 7 80,f1h1
1k6/8/3p1Qp1/3P3p/2q1P3/K5PP/3q4/8 b - - 3 57,c4b4 c4a2 d2b4 d2a2
2Q5/8/8/1Q6/7P/5K2/3k4/8 w - - 11 61,b5e2
8/8/2Q2pk1/8/7Q/8/KPP3PP/8 w - - 3 42,c6f6
1Q6/3k4/8/2Q5/P2K4/8/8/8 w - - 1 54,b8c8 c5d6
6k1/4Kp2/6p1/8/3q4/8/2q5/8 b - - 5 54,c2e4 c2e2
1Q1Q4/6kp/p5p1/8/3P4/1P6/4r1bP/2b3K1 b - - 0 37,c1e3
6k1/pp4pp/2p5/8/7K/1P3q2/P5qP/8 b - - 7 37,f3g4 f3h3 g2g4 g7g5
R7/2k5/5P2/8/3QQ3/1BP5/P7/6K1 w - - 3 60,d4d8
7K/4b3/4k3/4p3/3p2q1/2p5/2n5/5q2 b - - 1 86,f1h3 f1h1
2k5/6Q1/5Q2/8/8/8/8/6K1 w - - 17 83,f6f8
r7/pb5p/1p5B/kPp5/2P1Q3/3P4/P5PP/RN1Q1RK1 w - - 1 27,h6d2 e4e1
8/1q6/4PP1K/8/3P2k1/3q3p/5P2/8 b - - 2 44,b7h7 d3h7
3Q4/8/8/7Q/8/p1K1k3/P7/8 w - - 3 49,d8d4
5k2/5p2/1Q6/3Q3p/3P4/2P3p1/8/5RK1 w - - 4 40,d5f7
8/1P6/8/1q4k1/3n4/K7/5p2/3qq1q1 b - - 2 67,b5b3 e1a5 d1a4 d1b3 d1a1
1Q6/8/2k5/6N1/8/8/1Q3PP1/6K1 w - - 3 62,b2b5
6QQ/1k6/5Q2/8/3K1P2/3p4/3N4/8 w - - 1 70,h8h7 h8g7 g8b8 g8h7 g8g7 g8f7
6Q1/8/2p4Q/p2pp3/1p1Pk3/8/PPP5/2KR3R w - - 0 41,g8g4
8/1P6/3Q4/5K2/2kB1P2/8/8/3Q4 w - - 9 73,d6c5
8/3k2p1/3p2p1/3P2P1/1q6/3K4/1q6/8 b - - 3 49,b4d4 b2d2
3K4/1p6/2q5/8/1k6/8/8/q7 b - - 1 66,a1f6
1Q6/6k1/8/5Q2/8/8/2PK4/8 w - - 1 68,b8f8
6Q1/8/8/7k/5Q1P/8/6P1/6K1 w - - 5 59,g8e8 g8h7 g8f7 g8g5 g8g4 f4g5
5Q2/7k/4Q3/8/8/8/5RKP/3R4 w - - 1 57,f8g8 f8h6 e6g8 e6f7 e6h6 e6f5 e6e4 f2f7 d1d7
4kbnr/2p4p/4K3/r5P1/8/8/8/1qq5 b k - 0 32,c1c6 c1c4 c1e3 c1e1 b1g6 b1b6 b1f5 b1e4 b1b3 b1a2
8/2Q5/8/2N5/1k6/3Q4/8/2K5 w - - 3 54,c7b6 d3b3
1Q1R4/8/2k5/4Q3/5p2/4pP2/4P3/4K2R w - - 3 70,d8d6 b8c7 b8b5 e5c7 e5d6 e5d5 e5b5 e5c3 h1h6
Q7/8/8/8/6k1/3Q2B1/6K1/8 w - - 1 53,d3g6
8/8/3q4/1K6/8/2q5/2k5/8 b - - 11 70,d6c6 c3b4
5Q2/6Q1/8/8/4k3/2B5/K7/8 w - - 7 70,g7d4
8/7K/4p3/4k3/5q2/8/8/6q1 b - - 3 62,f4h4 f4h2
7Q/Q6p/4p2k/6p1/3P4/1K4Q1/1P5P/8 w - - 0 55,h8h7 a7h7
7Q/8/8/kp3p2/3Q1Pb1/1p4P1/1K6/8 w - - 4 54,h8a8
K5k1/8/8/6p1/5r2/8/2q2b2/3q4 b - - 13 65,c2c8
6K1/q4p1p/2q3k1/3p2B1/6P1/6P1/8/1r6 b - - 2 52,c6e8
6k1/8/8/8/5ppp/3q4/2p3K1/1q6 b - - 1 56,d3g3 d3e2 d3d2
8/8/1Q6/8/8/8/k4PP1/2Q3K1 w - - 0 62,b6e6 b6b2 b6b1 c1b2
2Q5/5ppp/4p3/8/3Pk3/pQ2P3/5PPP/2b3K1 w - - 2 33,c8c2
5Q2/8/6Q1/4k3/6K1/7p/8/8 w - - 0 61,f8d6 f8c5
8/8/8/P7/8/1QR2Q2/3k1PK1/8 w - - 1 52,f3e3 f3d1 b3d1
r7/7p/p1kq4/6K1/2b3PP/5q2/8/8 b - - 1 46,d6g6 f3d5
2Q5/1Q6/4N3/8/k3B3/8/5KP1/8 w - - 7 70,c8a8
4Q1Q1/8/8/8/2R4K/5k2/8/8 w - - 5 80,g8g3
8/8/8/K7/4Q3/8/P2k1P2/7Q w - - 7 58,h1e1
2Q5/8/1Q6/8/k7/8/8/6K1 w - - 2 60,c8a8 c8a6
6k1/p4p1p/6p1/7P/6PK/8/Pq6/2q5 b - - 1 39,b2h2
QQ6/6P1/8/8/7k/5Q2/6K1/8 w - - 3 64,b8d8 b8f4 b8g3
2k5/6pp/5p2/7P/6PK/3q1q2/8/8 b - - 1 44,f3h3 f3g3 f3f2 f3h1
4k3/6pp/4P3/8/5K2/1p6/4q3/q7 b - - 1 47,a1e5
8/p7/k6K/8/8/8/8/5qq1 b - - 11 60,f1h3
8/4Q3/1K4k1/8/5Qp1/6B1/8/8 w - - 7 69,e7f7 f4g5
1Q6/8/Q7/6k1/6P1/5R1K/8/8 w - - 3 63,b8g8 b8d8 b8e5 b8b5 b8f4 a6f6 f3f5
8/8/8/3P1k2/7K/5q2/8/3q4 b - - 11 73,f3g4 d1d4 d1a4 d1h1 d1e1
8/8/6Q1/5Q2/1p1k4/8/1KP2P2/8 w - - 11 45,g6g4
4K3/q7/5P2/5q2/Pk6/8/8/8 b - - 6 51,f5c8
6Q1/8/7K/8/3k4/5Q2/8/8 w - - 1 56,g8d5
8/8/6k1/5qb1/8/4P3/6q1/4K3 b - - 8 81,f5f1 f5b1
7Q/8/8/8/8/8/5Q2/K2k4 w - - 11 66,h8h1
4Q1Q1/1R6/5p2/p4k2/P4P1p/6P1/6BP/5RK1 w - - 0 46,g8g6 g8e6 e8c8 e8d7 e8g6 e8e6 e8h5 e8b5 e8e4 b7b5 g2e4 g2h3 g3g4
3Q4/5Q2/6pk/8/7p/1P5P/4B1PK/8 w - - 0 52,d8h4
4K3/6q1/7q/p7/8/k7/8/8 b - - 9 63,h6h8
8/6pp/4qpk1/8/q5RK/8/7P/8 b - - 0 56,e6g4 a4g4
k7/8/8/1Q4K1/8/1Q6/1Q6/7R w - - 11 66,b5b8 b5b7 b5a6 b5a5 b5a4 b3a4 b3a3 b3a2 b2a3 b2a2 b2a1 h1a1
3Q4/8/8/8/K7/2P5/P3Q3/2k5 w - - 7 59,d8d1
2k1r3/1p3ppp/8/3n3K/q1P5/6q1/8/2n5 b - - 0 39,e8e5 d5f6 d5f4 a4d1
6Q1/ppk2p2/6n1/3P2B1/6P1/8/P1q3PP/1q1R1R1K w - - 2 21,g8d8
4Q3/5Q2/6pp/5p2/6k1/6P1/6KP/8 w - - 2 43,f7g6
8/1p5P/p5k1/6P1/3q4/1q6/4K3/8 b - - 2 50,b3d1
8/8/6p1/8/3QP1p1/Q5P1/4kP2/6K1 w - - 2 43,a3e3
8/5k2/8/q7/8/p7/6q1/1K6 b - - 3 55,a5e1 g2b2
1Q6/4kp1p/2Q3p1/4p1P1/4P2r/P7/K7/8 w - - 3 52,b8e8 b8d6 c6e8 c6d6
r6r/3k4/8/8/4K3/1pq5/8/3q4 b - - 1 45,d1f3
2k5/1b6/8/1p6/1P6/3q4/1K6/4rqr1 b - - 1 49,g1g2 f1g2 f1f2 f1e2 e1e2
1k3N1Q/4Q3/1P4N1/3N4/8/8/5P2/6K1 w - - 1 52,f8h7 f8e6
5rk1/5p1p/4p1p1/4q3/6PP/7K/1q6/8 b - - 0 31,e5e3 e5c3 e5h2 b2h2
8/8/8/7Q/5k2/P6Q/1P4PP/6K1 w - - 1 47,h5f5 h3f3
r4rk1/6pp/3p4/2p1p3/2PpPq1P/3P1P1R/5KQ1/q7 b - - 3 34,a8a2
2Q5/6p1/3K2P1/1k6/p6p/Pp2Q1P1/1P6/8 w - - 0 69,e3c5
8/p6p/P1K5/8/3q4/8/7k/1q6 b - - 5 45,b1b6
7R/P7/8/8/R7/5kp1/5r2/4R1K1 w - - 4 45,h8f8 a7a8q a7a8b
8/8/7Q/5K2/2p5/6P1/P5k1/4Q3 w - - 2 66,h6h1
2Q5/6k1/1R6/3Q4/8/3P1p1K/5P1P/8 w - - 0 41,c8g8 d5g8 d5d7 d5b7
5b1r/p2k2pp/8/4q3/1PP5/1K6/3P1P1P/q7 b - - 1 35,e5b2
r3kb1r/ppp2p2/5np1/3P4/2KP1q2/2P5/PP6/3q4 b kq - 4 36,f4f1
8/8/p1k2K2/3q3P/8/8/2r5/6q1 b - - 3 55,g1g5
8/p5p1/1r4k1/8/8/8/4K3/1q4q1 b - - 1 49,b1d1
1r4k1/1P4pp/5q2/8/R5K1/P2p2P1/7P/5q2 b - - 6 43,f1f5
2k5/p5p1/5p2/5q2/6q1/8/8/n1n4K b - - 1 56,f5h7 f5h5
5Q2/8/8/6Q1/8/1KB1p3/5p1k/8 w - - 1 53,f8h8 f8h6
8/8/1QQ5/K7/8/k7/8/8 w - - 7 64,c6a4
5Q2/6Q1/4k3/2p5/2K1N3/8/8/8 w - - 1 63,f8c8 f8f7 f8f6 g7e7 e4g5 e4c5
8/5p1k/4q2P/8/5K2/8/8/6q1 b - - 12 62,g1g4 g1e3
1q4k1/6p1/6p1/8/K7/8/8/2q5 b - - 5 51,c1a1
4r1k1/p1p3pp/2pp4/8/6PP/7K/PP3q1R/2q5 b - - 0 24,e8e3 f2f3 c1e3
4kbnr/pp3pp1/4p2p/8/7P/3q4/4q3/6K1 b k - 7 32,d3d1 d3b1
8/8/5K2/8/6k1/1q6/8/1bq5 b - - 5 81,c1g5
8/5k2/7p/8/2q5/K7/8/1q6 b - - 5 59,c4a6 c4b4 c4b3 c4a2 b1b4 b1b3 b1a2 b1c1 b1a1
8/8/8/8/8/2Q5/1Q4PK/5k2 w - - 5 53,c3c1
8/7p/p7/3R4/4q3/6KP/2k5/rq6 b - - 15 58,b1g1
8/8/2Q5/4k3/8/1K6/2Q5/8 w - - 1 61,c2e4
QR4QQ/8/1P1k4/8/8/7Q/8/2K5 w - - 3 63,g8f8
5QQQ/3R4/3R4/4QN2/8/8/5k2/2K5 w - - 3 76,f5e7 f5h6 f5h4 f5d4
8/8/8/6K1/1Q6/4Q3/k5P1/8 w - - 7 63,e3a7 e3a3
8/8/1Q6/8/3Q4/7P/P1k2P2/6K1 w - - 3 52,b6b2
1q3q2/1P6/2K5/1P6/8/6k1/8/8 b - - 3 47,f8d6 b8d6
Q7/7p/5p1k/6p1/4Q3/8/1PP1B2q/4K3 w - - 2 36,a8f8
8/8/1p6/2p5/1n2p3/q3P1k1/1q6/4K3 b - - 7 54,a3a1
1Q6/2Q5/8/6K1/k7/8/8/8 w - - 9 61,c7a7
8/5Q2/8/4QK2/kB2R3/2P5/P1P5/8 w - - 7 55,f7e8 f7d7 f7a7 f7b3 e5e8 e5a5 b4f8 b4e7 b4d6
8/1K6/7k/5Q2/6Q1/8/7p/7B w - - 27 75,f5g6 f5h5 g4g6 g4g5
8/2k5/5K2/8/6q1/7p/8/4q3 b - - 1 56,e1e6
8/4q3/5p2/2k5/8/n6K/8/6q1 b - - 3 57,e7h7
8/8/1K6/3q1k2/8/2q5/8/8 b - - 13 63,c3a5
Q2Q4/1R6/4k1K1/8/8/8/6p1/5r2 w - - 1 56,b7e7
5K1k/r5pp/5p2/8/5PPP/4q3/8/7q b - - 6 51,e3e7 h1a8
8/8/5K2/8/6q1/q7/b6k/8 b - - 9 66,a3d6
5K2/3q3k/5P2/7p/8/7P/8/2q5 b - - 2 67,c1c8 c1h6 c1c5 c1a3
2Q3r1/4k2p/5p2/3B4/6q1/2Q3Pp/P4P1P/3R2K1 w - - 0 41,c3c5
R1R5/7R/8/1k6/4p1p1/6P1/4K2P/8 w - - 1 50,h7b7
5Q2/4P3/3R3Q/8/1P6/8/PPKNk3/8 w - - 1 60,f8f1 h6e6 d6e6 e7e8q e7e8r
8/8/8/8/5K2/3k4/8/4q1q1 b - - 1 71,e1e4
R1q1kb1r/p2b1p1p/3p2p1/1B2p1Bn/Q3P3/5N2/PP4PP/RN3RK1 w k - 1 18,a8c8 b5d7
8/q7/2K5/2b5/1q2k3/8/8/8 b - - 9 57,a7b7 b4b7 b4b6 b4a4
1Q6/8/8/1Q6/2P1B2K/k2P4/8/8 w - - 3 58,b8a8 b8a7 b5a6 b5a5 b5b3
8/p5pk/5p2/2K5/1P6/8/q7/3q4 b - - 3 47,a2d5 d1d5
6Q1/8/5Q2/1P6/8/8/2P4k/1K2B3 w - - 1 56,f6h8 f6h6 f6h4
8/8/1k4P1/2p4K/3q4/5Pq1/6P1/8 b - - 0 47,d4h8 d4h4 g3h4
6k1/6p1/K7/3pp3/1q2b3/8/8/1q6 b - - 2 51,b4b6 b4a4 b4a3 b1a2 b1a1
2k5/4Q3/5Q2/8/7K/2B5/1P1R4/8 w - - 5 74,f6h8 f6f8 d2d8
Q7/5p2/6pk/4P2p/3Q1P2/5P1P/7K/8 w - - 1 41,a8h8
6k1/5pp1/7p/4q3/6PK/5PP1/3r4/4q3 b - - 2 57,d2h2 e1g3 e1h1
1r5r/p3kppp/8/K7/8/8/8/n1qq4 b - - 3 42,c1a3
6k1/5p2/6pQ/5pK1/8/2q1P3/5q2/8 b - - 3 42,f2g3
7k/4Q1pp/5p2/4p3/1B6/P7/1P2QP1P/5KR1 w - - 7 37,e7f8 e7e8 e7d8 e7g7
8/2K4k/5q1p/3b4/8/8/8/1q6 b - - 1 72,b1b7
8/8/4k3/2K5/2p1ppp1/8/3q4/1q6 b - - 3 63,d2d5
8/7K/7p/8/6B1/k7/2Q4P/3Q4 w - - 2 65,c2b3 d1d6
8/8/5q2/3k4/6K1/8/8/5q2 b - - 5 84,f1f3
8/8/8/8/3k4/3rq3/6K1/2q5 b - - 60 98,e3g3 e3e2 e3d2 e3g1 d3d2 c1g1
8/5k2/3Q4/3p4/7P/8/2rq2PK/4q3 b - - 1 42,d2g2
1Q6/R4p2/8/2k4p/8/6P1/5PKP/3Q4 w - - 5 58,a7c7
3Q1q1k/pp4p1/7p/3Q4/8/P1P3P1/6KP/1q6 b - - 0 34,b1f1
8/2q3pk/q6p/5K2/8/8/8/8 b - - 3 52,a6g6
r7/5k2/5b2/5P1K/2q3P1/8/3q4/8 b - - 0 42,a8h8 d2g5 d2h2
1Q6/8/2Q5/4p3/7p/k4P1P/5KP1/8 w - - 7 46,c6a8 c6a6
5Q2/8/8/8/2N3k1/8/7Q/6K1 w - - 5 52,f8f4
4Q3/7k/1p6/1ppP2Q1/2P3KP/1P4P1/8/8 w - - 0 46,e8g8 e8h5 g5g6
Q7/6Q1/7P/5p2/1k3P2/4B3/3N1K1P/4R3 w - - 1 40,g7b2 e1b1
5Q2/8/8/7k/5Qp1/6P1/5P2/5K2 w - - 9 40,f8e8 f8f7 f8h6 f8f5 f4h6 f4f5
rnb1k2r/p2p3p/P7/3K4/8/2p5/1b5q/5qq1 b kq - 1 44,f1d3
4kb1q/8/4K3/8/8/5q2/8/8 b - - 3 75,h8f6 f3f7 f3e4
8/7p/K4k1P/5P2/1q6/1pq5/8/8 b - - 3 49,c3a1
r2q1bQr/3bk1pp/3p4/2p5/1p6/p5P1/PPPPP2P/RNBQ1RK1 w - - 0 15,g8f7
4Q3/p5p1/1p5k/2p4p/4Q2B/8/P1P2PPP/5RK1 w - - 3 30,e8h8 e8g6 e4g6
3k4/8/1p6/2p1rq2/4q3/4q3/1K6/8 b - - 1 64,e4b1
4Q3/2Q5/8/8/8/3k1K2/6P1/8 w - - 5 63,e8d8 e8d7 e8e3
5Q2/4Q3/7B/8/k7/8/B3P2P/5K2 w - - 1 54,e7b4
8/7k/2p1p3/2P5/2r1p3/8/3K4/5qq1 b - - 1 43,g1g5 g1d4 g1f2 f1d3 f1g2 f1f2 f1e1 f1d1 e4e3
1k6/1p2Q3/2p5/2Q5/p2P4/2K5/P1P5/8 w - - 5 44,e7d8
8/8/2p5/2q2q2/1k6/6K1/8/8 b - - 3 57,c5f2
8/8/3qk3/8/8/1K6/4r3/2q5 b - - 11 64,d6a3 c1c2
8/6k1/N2Q4/5Q2/5p1p/4PP1P/4K3/8 w - - 5 53,d6f8
rnb1k3/pppp4/6q1/4K3/7q/8/8/8 b - - 3 35,g6e6 g6h5 g6g5 g6e4 h4e4
5k2/2Q5/1Q6/p7/7P/P1K5/2N5/8 w - - 5 52,b6b8
8/5Q2/2k5/p1p1Q3/P1P5/5P2/5K2/8 w - - 3 51,f7c7 e5c7 e5f6 e5e6
7r/p1p2pk1/2p1pbp1/3q4/3P1PQ1/4BP2/P3NKR1/rq6 b - - 0 29,b1e1
8/8/p3Q3/1p1P2p1/2p4k/3P4/PPP1Q3/6K1 w - - 4 42,e6g4 e2g4 e2h2
1Q6/5p2/6p1/N7/P6p/5P1P/k5K1/2Q5 w - - 9 55,b8b3 b8b2 b8b1 c1b2
8/pp4pk/8/8/8/7q/6q1/4K3 b - - 9 58,h3h1
6k1/5pPp/8/6PK/1pq5/2q5/8/8 b - - 0 50,c3h3
1Q6/2Q5/5K2/8/k5N1/8/8/8 w - - 11 66,c7a7
8/k5PP/8/7B/8/7P/P7/1RQQ2K1 w - - 5 59,d1a4 c1a3
2Q3R1/1Q6/8/6p1/k7/4P3/2P2P1P/2K5 w - - 5 45,c8a8
3r4/8/8/7K/8/6q1/1k6/5q2 b - - 9 62,d8h8 f1h3 f1h1
7k/8/1K6/8/8/8/2q5/q2q4 b - - 4 75,d1b1
r1b2rk1/1p4pp/2pb4/3pNp2/3Pn3/2n1P1qP/1q4P1/6NK b - - 3 36,e4f2 g3g2 b2g2
8/8/4k3/8/3Q1Q1p/8/2K5/8 w - - 6 60,f4f6 d4d6
8/8/p2p4/k1p5/2PpP3/3Rq3/q7/3K4 b - - 5 66,e3g1 a2e2 a2b1
2Q5/7k/4Q3/P3P3/3P1B2/4K1p1/8/8 w - - 0 54,c8g8 e6g8 e6f7 e6h6
3k4/p7/2pp4/7p/8/1P1K4/5q2/2q5 b - - 3 36,f2e3 c1c2
3Q1Q2/6N1/8/4k1B1/8/8/8/6K1 w - - 7 56,f8e8 f8e7 f8f5 f8f4
8/k7/2QQ4/1p6/1P1P4/3K4/8/8 w - - 1 71,d6c7 c6a6
1Q6/6k1/Q7/3Bp1P1/4P1K1/4P3/8/8 w - - 3 58,b8g8 a6h6
6Q1/3K4/8/4k3/8/8/5Q2/8 w - - 4 60,g8e6
8/8/4p2k/8/4Q3/8/6Qp/1K5B w - - 1 50,e4g6 e4h4 g2g6
bK6/6q1/7q/1P6/8/4k3/8/8 b - - 11 74,g7b7 h6h8
Q1r3k1/1Q3pp1/7p/5q2/8/4P2P/4K1P1/2q5 b - - 0 36,f5f1
8/6P1/1p6/1k3P2/5K2/3q1P2/8/6q1 b - - 2 64,d3d4 d3e3
7Q/8/6Q1/8/5k2/8/5KP1/8 w - - 1 57,h8b8 h8f6 h8d4 h8h2 g2g3
8/2q2kpp/8/5K2/3p1p2/6P1/P1P1qP2/8 b - - 4 40,c7e5
rnb1kbnr/4qppp/8/8/8/3nnK2/8/n4n2 b kq - 9 66,c8g4
QQ6/8/8/2N2kP1/3P4/4B3/2PK4/8 w - - 1 52,a8e4
2k5/5p2/p1q1p2p/1p6/6r1/1K6/8/q7 b - - 5 56,c6c4 c6c3
8/3k4/8/4Q3/2Q5/8/3K4/8 w - - 5 55,c4c7
8/8/8/3KR3/5P2/1P4PQ/4Q2P/6k1 w - - 25 76,h3g2 h3f1 e2g2 e2f1 e2e1
Nn1k3r/pp4p1/6q1/7p/3P4/4bP1R/PPP5/R2QKBq1 b Q - 1 19,g1f2
3k4/6Q1/7Q/3N4/8/1P6/5PP1/6K1 w - - 5 45,h6h8
5Q2/7N/8/3Q4/k7/7P/PP4P1/6K1 w - - 1 48,f8f4 f8a3 b2b3
8/8/8/8/1P2K3/P1Q5/k7/6Q1 w - - 3 53,g1a1
4Q3/1Q6/5p2/2p5/2P2K1k/8/6P1/8 w - - 3 62,e8h8 b7h7
2QQ4/5pk1/4p1p1/8/p4q1p/7P/P4PP1/3R2K1 w - - 1 36,d8h8
6k1/5p2/5p1p/5q1P/7K/8/8/q1q5 b - - 1 45,c1g5 c1f4 c1e1
7Q/p7/8/6k1/4Q3/7p/3N1K1P/8 w - - 5 50,h8h4 d2f3
8/8/K7/6k1/8/6p1/1q6/2q5 b - - 6 79,c1a1
8/8/qr6/k4q2/7K/2N3P1/8/8 b - - 8 67,b6h6
2Q5/1P6/6p1/6kp/3Q4/6P1/bK4P1/8 w - - 0 54,d4f4
8/8/8/4k3/Q7/2P5/PP2NRPK/R1BQ4 w - - 1 23,a4e8
8/8/8/5k2/7K/8/r7/2q3q1 b - - 1 77,a2h2 g1g4 g1h2 c1h6
2Q3K1/1Q6/8/k7/8/8/8/8 w - - 3 70,c8a8
6k1/5pp1/8/6K1/8/5q2/8/qq5q b - - 1 60,f3f5 f3g3 h1h6 h1h5 b1g6 b1f5 b1b5 b1g1 b1c1 a1f6 a1e5 a1a5 f7f6
8/8/8/2Q5/k7/3QK3/8/8 w - - 3 67,c5b5 c5a3 d3b5 d3c4 d3a3 d3c2 d3d1
2k1K3/2p1p3/5q2/8/6q1/8/8/8 b - - 3 59,g4g8 g4d7 g4g6 g4h5 g4a4
8/7k/K7/7p/8/8/1q6/2q5 b - - 13 51,c1a1
1Q6/2Q4K/8/8/8/k7/8/8 w - - 13 66,c7a7 c7a5
1k6/3Q4/2Q5/8/p2p4/P2p2P1/1P6/6K1 w - - 4 49,d7c7 d7b7 c6c8 c6b7
Q7/4k3/1Q6/3PP3/1P6/8/6PP/6K1 w - - 1 43,b6c7 b6b7 b6a7 b6e6
8/8/6p1/8/K6p/2q3k1/8/1q6 b - - 1 62,c3b4 c3a1 b1b4 b1b3
7K/8/8/3k4/8/4b1q1/8/5q2 b - - 1 60,f1h3 f1h1
5Q2/6Q1/8/K7/7k/8/8/8 w - - 17 69,f8h8
8/p7/2pk2q1/1P1b1q2/7K/P7/8/8 b - - 0 47,g6g5 g6g4 f5h5 f5g4
8/8/8/pK6/P7/kP1Q4/2B5/1Q6 w - - 7 66,d3d6 b1a1 b3b4
r1bnk2r/6pp/p1p5/P1P5/5K2/8/8/3qq3 b kq - 4 40,d1g4
6k1/8/2K5/8/8/8/7q/3rqqq1 b - - 5 69,f1a6 e1e4
8/8/1q6/8/K5k1/8/8/2q5 b - - 5 65,c1a1
7Q/7P/5Q2/8/4k1K1/8/8/8 w - - 1 72,f6d4 f6f3
r3k3/pP1n4/8/P7/6q1/8/5K2/3q4 b - - 2 44,g4f3 g4g1 d1e2 d1g1
1K6/1P2q3/P7/7k/8/8/8/6q1 b - - 3 87,e7d8
3Q4/8/8/2Q5/8/6K1/8/5k2 w - - 1 52,d8d1 c5f2
8/8/8/8/Pk6/5q2/7K/5q2 b - - 1 70,f3f4 f3h3 f3g2 f3f2 f1g2 f1f2 f1h1
8/5Rpk/5P1p/6q1/2q5/7P/5P2/4K3 b - - 8 36,g5c1
rn5Q/p1k4p/1pp1Q3/8/4P3/2Nb1N2/PPP3PP/R4BKR w - - 1 18,h8c8
Q4rk1/2b1n3/p4p2/3p4/P2P4/2N1Bp2/5PPq/R2QRK2 b - - 2 25,h2g2 h2h1
8/8/6Q1/7Q/6p1/3N1k2/P2K4/8 w - - 3 47,g6g4 h5g4
5QQ1/2pk4/8/8/8/7K/8/Q7 w - - 1 55,g8d5
3Q4/7p/2Q5/5p2/6k1/8/5K2/8 w - - 0 55,c6f3
8/6q1/1p6/2p5/2P4K/4k3/8/5q2 b - - 1 52,f1h1
1K6/7q/5q2/6q1/r1k5/8/2b5/3n4 b - - 23 86,f6h8 f6f8 f6d8 g5g8
r3r1k1/1pp2ppp/5n2/3p1Q2/3P1P2/pPq1B2P/P3NK2/R6q b - - 1 20,c3e3
8/4k3/2p2p2/3p2p1/6P1/2r3PK/3r4/r7 b - - 2 47,a1h1
6k1/1p3pp1/5q2/8/5q2/7P/6P1/6K1 b - - 7 45,f6a1
8/8/8/7q/2kq4/5nK1/8/8 b - - 5 58,h5g4
8/8/1Q6/8/2R5/k7/3Q1K2/8 w - - 1 63,b6b4 b6e3 b6b2 d2a5 d2b2
r7/5pkp/4p1p1/6K1/5P1P/5qP1/1r6/5q2 b - - 6 50,f3h5 f3g3 h7h6 f7f6
6k1/2p5/p1p5/8/PK6/1P2q3/8/6q1 b - - 1 39,e3c5
8/q7/qPK1p3/4k3/8/8/8/8 b - - 1 70,a6b6 a6c4
8/6Q1/8/kpQ5/P2P4/5K2/8/8 w - - 1 63,g7a7 c5b5
2Q5/1Q6/3k1p2/5p2/5P2/p5K1/PP6/8 w - - 0 49,c8c6 b7d7
1Q6/4k3/R4N2/3P4/7Q/1P6/5P2/2B3K1 w - - 1 44,b8e8 a6a7 h4h7
8/8/1k6/2q5/K7/4b3/8/6q1 b - - 13 63,g1d1
8/8/8/6k1/2q1q3/8/3K4/8 b - - 13 66,e4e2 c4c2
8/1p3q2/1k3P2/4q3/6K1/8/8/8 b - - 3 48,f7h5
