FEN,Move,Win Probability,FEN ID
4k2B/ppp1p2p/4p1pb/8/4N3/1P2P3/P1P1KPPn/3R4 w - - 3 18,"['e4c5', 'f2f3', 'd1h1', 'a2a4', 'c2c4', 'f2f4', 'h8a1', 'b3b4', 'e4d2', 'd1d4', 'd1a1', 'e4c3', 'h8d4', 'd1d3', 'c2c3', 'h8b2', 'h8c3', 'a2a3', 'g2g3', 'e2e1', 'd1d2', 'd1g1', 'd1c1', 'h8e5', 'g2g4', 'e4g3', 'e2d3', 'd1e1', 'd1b1', 'e2d2', 'd1f1', 'e4f6', 'e4g5', 'e4d6', 'h8f6', 'd1d8', 'h8g7', 'd1d7', 'd1d6', 'd1d5']","[0.929637748928412, 0.9246656829750429, 0.9174413966329305, 0.915752546563305, 0.9154680395423619, 0.9151826607186987, 0.9151826607186987, 0.9146092793830201, 0.9143212727289114, 0.9134519639532505, 0.9134519639532505, 0.9128679966877029, 0.9125746784058927, 0.9116893600511021, 0.9113924591731603, 0.911094657452666, 0.911094657452666, 0.9107959528114045, 0.9098944005759381, 0.9095920634631363, 0.9092888130340637, 0.9083735610512753, 0.907450014345987, 0.907450014345987, 0.906829680630278, 0.906829680630278, 0.905892184593496, 0.9052624993351271, 0.9049462440995383, 0.9043108980252872, 0.8639396241959597, 0.8604397898547235, 0.8550489426204343, 0.854133838270865, 0.853213948464882, 0.8522892607055503, 0.8518251137238009, 0.8227990144459475, 0.5812008926446736, 0.5504562746820834]",ID7JYE
5rk1/p4ppp/2p5/3r3q/7N/P4R1P/1PQ2BP1/4R2K b - - 0 28,"['f8d8', 'f7f5', 'd5e5', 'd5d7', 'd5d6', 'g7g6', 'c6c5', 'h5g5', 'd5g5', 'h7h6', 'd5d8', 'h5f3', 'f7f6', 'd5a5', 'f8b8', 'h5h6', 'a7a6', 'g7g5', 'd5b5', 'f8c8', 'a7a5', 'f8a8', 'g8h8', 'h5e5', 'd5d4', 'h5g6', 'd5d1', 'd5f5', 'd5d3', 'd5d2', 'h5h4', 'd5c5', 'h5g4', 'h5f5', 'f8e8']","[0.08683957548832155, 0.07280918439112949, 0.07206698462118566, 0.070362251071588, 0.06845966694569416, 0.06845966694569416, 0.06775856494525972, 0.06729486861836093, 0.06729486861836093, 0.06706412608595291, 0.06614848131031625, 0.0650202616394161, 0.0647967765156155, 0.06413060406412313, 0.06281735969426522, 0.06217018468833663, 0.061105378420221235, 0.060474702951805626, 0.05882255957786381, 0.05801244208956258, 0.05801244208956258, 0.05506687719009473, 0.05336772854185651, 0.05082264714033852, 0.04907551589857312, 0.04623546138532342, 0.04058571893540408, 0.03889972076668535, 0.03662586928377254, 0.03662586928377254, 0.03623809793445515, 0.03176929171490711, 0.01867133305688612, 0.010599183439088111, 0.0]",24JOZY
2q1r2k/6bp/4p1p1/1pB1P3/1P3n2/1Q6/5NPP/1R4K1 w - - 0 29,"['b3f3', 'b3e3', 'g1h1', 'f2g4', 'f2e4', 'g2g3', 'b3c2', 'b1e1', 'f2d3', 'b3d1', 'f2h3', 'c5d6', 'b3b2', 'b1a1', 'b3a2', 'b1d1', 'c5e3', 'g1f1', 'b1b2', 'h2h4', 'h2h3', 'f2d1', 'b3a3', 'b1f1', 'f2h1', 'c5a7', 'c5b6', 'g2g4', 'b1c1', 'c5e7', 'c5d4', 'b3h3', 'c5f8', 'b3g3', 'b3d3', 'b3c3', 'b3e6', 'b3c4', 'b3d5', 'b3a4']","[0.5910258971916128, 0.5431567852197504, 0.5394998785122574, 0.5321736834106171, 0.5303398401818216, 0.5285051773118131, 0.5202403732122675, 0.519321294202434, 0.5184020844121936, 0.511044443209752, 0.5, 0.4981589683200522, 0.4944771046316658, 0.48895555679024805, 0.47975962678773254, 0.47975962678773254, 0.46141502858974687, 0.45319095389262815, 0.4477221183422858, 0.44226590014833245, 0.4395429240174578, 0.4341080334601539, 0.43139643471891215, 0.41343150341573687, 0.4098644115408538, 0.3181708609785677, 0.30241330468885935, 0.2407066986076838, 0.1708503939715894, 0.1351970515980852, 0.1347671251678204, 0.11470529526403384, 0.11248087332490314, 0.10921491048911158, 0.10327249441731556, 0.08801463783567065, 0.07793966348758313, 0.0718211393064348, 0.07060348244255998, 0.06845966694569416]",Q5DOA6
1rbqkb1r/pp3ppp/2np1n2/2p5/2B1PB2/2NP1N2/PPP3PP/R2Q1RK1 b k - 0 8,"['f8e7', 'c8g4', 'c8e6', 'b7b5', 'c6d4', 'a7a6', 'h7h6', 'b8a8', 'c8d7', 'c6a5', 'b7b6', 'a7a5', 'd8b6', 'c6e5', 'd8a5', 'e8e7', 'f6h5', 'c6b4', 'd8d7', 'h7h5', 'f6g4', 'd8c7', 'h8g8', 'd8e7', 'f6d7', 'c6e7', 'g7g6', 'e8d7', 'f6g8', 'g7g5', 'd6d5', 'f6e4', 'c8f5', 'c8h3', 'f6d5']","[0.4332037205612503, 0.38343625677752047, 0.3475931508498015, 0.29089043601136866, 0.27227406568891394, 0.2551207276169529, 0.2523319525399643, 0.23536418926249292, 0.23338203523147633, 0.23206706534704952, 0.23141152218477828, 0.2275054850760267, 0.2204658929761425, 0.20565410284842756, 0.19794461416535591, 0.19794461416535591, 0.1956167070159846, 0.19330957860820386, 0.1893220100493414, 0.18484234856825787, 0.18428819244207262, 0.17881728296347305, 0.1777384739863237, 0.17666477329070246, 0.1672300700782952, 0.16569737414693786, 0.14957455800426844, 0.1491067941104216, 0.14268414971333432, 0.11211381938667214, 0.10638197729176951, 0.10638197729176951, 0.09859535787713025, 0.08453196045763806, 0.07820468799769881]",ZB2C7A
r1bqkb1r/ppp1pppp/2n2n2/8/8/5Q2/PPPP1PPP/RNB1KBNR w KQkq - 3 5,"['f1b5', 'h2h3', 'f3d1', 'b1c3', 'b1a3', 'f3e2', 'c2c3', 'f1c4', 'd2d3', 'f3e3', 'a2a4', 'f3b3', 'f3g3', 'a2a3', 'g1e2', 'f3d3', 'b2b3', 'f3c3', 'h2h4', 'f1d3', 'f3f4', 'g2g3', 'f3a3', 'b2b4', 'f1e2', 'd2d4', 'c2c4', 'g1h3', 'g2g4', 'f1a6', 'e1d1', 'f3c6', 'f3f6', 'e1e2', 'f3h3', 'f3e4', 'f3g4', 'f3h5', 'f3f5', 'f3d5']","[0.41343150341573687, 0.36874985869153015, 0.35598925108778084, 0.3551455424350716, 0.3534608279851336, 0.35261983069916264, 0.3509405771225878, 0.3475931508498015, 0.3475931508498015, 0.3467586268993149, 0.3459250441719453, 0.3442607185634, 0.34094353873508304, 0.33846581558932665, 0.3359969188321382, 0.3335369512006218, 0.33108601360457973, 0.32459507444197383, 0.31339752781910246, 0.30787822162318473, 0.30086202940252793, 0.2901315068241716, 0.2796306260994816, 0.27814961942773136, 0.27446827486685393, 0.2509451617398634, 0.2502536698554691, 0.2373579657373579, 0.2044536974774852, 0.11888290410869823, 0.09348188324070156, 0.08368104652783925, 0.0723136059066038, 0.0647967765156155, 0.04738544741274592, 0.030656003336026638, 0.027538286306976523, 0.027146595628198433, 0.0252680105508572, 0.023516283929813364]",3447MC
7r/pp2kp2/4pp2/P2B4/1P3bPp/2P4P/8/4R1K1 w - - 0 29,"['d5b7', 'e1e4', 'e1f1', 'g1f1', 'g1g2', 'd5f3', 'd5h1', 'd5g2', 'b4b5', 'e1e2', 'g4g5', 'd5e4', 'c3c4', 'g1h1', 'd5c4', 'a5a6', 'd5a2', 'd5b3', 'e1d1', 'e1b1', 'd5e6', 'e1a1', 'd5c6', 'g1f2', 'e1e6', 'e1c1', 'e1e5', 'e1e3']","[0.45501647940453177, 0.44590191339485113, 0.35010232921435797, 0.3181708609785677, 0.30631122259226473, 0.3047486873684638, 0.29470257622091905, 0.2931742312343752, 0.2931742312343752, 0.2931742312343752, 0.28560262776338907, 0.28410246577959375, 0.26432321070506637, 0.2614691522497748, 0.23869359706743176, 0.23802513721984941, 0.2366920834084017, 0.21731815726726345, 0.1500435305626528, 0.13263477974550358, 0.12559775111922367, 0.11965646568318677, 0.11965646568318677, 0.10885720702563229, 0.10708408206807812, 0.09664924125145591, 0.08368104652783925, 0.07507822752621851]",U4YE35
8/1R3R2/1p2r1p1/p2p1p1p/7k/8/P3r3/6K1 w - - 0 40,"['f7f5', 'f7e7', 'f7f8', 'b7b6', 'b7e7', 'f7g7', 'a2a4', 'b7b8', 'f7f6', 'f7c7', 'a2a3', 'b7c7', 'g1h1', 'g1f1', 'b7a7', 'f7d7', 'f7h7', 'b7d7']","[0.03257175736331719, 0.023685983805217914, 0.020361292617459503, 0.01651052629675498, 0.00031813741431596654, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4YCO4W
r1b2r1k/1p3pp1/p6p/2p1P1b1/3qQ3/3B4/PPP3PP/R4RK1 w - - 0 22,"['e4d4', 'g1h1', 'f1f2', 'e4e3']","[0.13562813456382855, 0.12082496069766191, 0.10603244788021299, 0.039037614932279086]",XQB7NB
r5k1/npp2b2/p4R1Q/4p3/4P3/3P4/PqP3PP/5R1K w - - 0 22,"['f6f7', 'f6f3', 'h6d2', 'f6f5', 'd3d4', 'c2c4', 'g2g4', 'h6g5', 'c2c3', 'h2h3', 'h6e3', 'a2a4', 'h6h4', 'a2a3', 'h2h4', 'g2g3', 'h1g1', 'h6h3', 'f1f3', 'f1f5', 'f1f2', 'f1d1', 'f1c1', 'f1g1', 'f6f2', 'f6e6', 'f1e1', 'f6a6', 'f6g6', 'f6d6', 'h6c1', 'f6c6', 'h6g7', 'h6g6', 'f1f4', 'h6h7', 'f6b6', 'f6f4', 'h6h8', 'h6f8', 'h6h5', 'h6f4', 'f1b1', 'f1a1']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9985190648798439, 0.9979384064794, 0.9965904764172604, 0.9955924620779738, 0.9954446313384612, 0.9947832282474934, 0.9851367555537519, 0.9817291858384647, 0.9707349098373724, 0.9696705527363692, 0.9470030846724865, 0.9308325149435775, 0.9209952833572687, 0.9125746784058927, 0.9095920634631363, 0.9020571948855387, 0.9010769157808419, 0.8960435355372941, 0.895355564204594, 0.8630716599681828, 0.8555047041895522, 0.8222615260136764, 0.5330902822991305, 0.4714948226881868, 0.46141502858974687, 0.37390714490240246, 0.3047486873684638, 0.27227406568891394, 0.26503983597811637, 0.22300753025901537, 0.17242090445576874, 0.14044687122292038, 0.1284558117032647, 0.12681590743681204, 0.0, 0.0]",P0H7EW
r1bq1rk1/p2n2pp/2p1p3/1p1pP3/1P1Pp3/2P1P3/P3B1PP/R1BQ1RK1 b - - 0 13,"['d7b6', 'f8f1', 'a7a6', 'a7a5', 'c8a6', 'd8h4', 'c8b7', 'd8c7', 'd8e7', 'a8b8', 'd8g5', 'h7h6', 'f8f5', 'd8e8', 'f8f7', 'd8b6', 'g8h8', 'd7b8', 'f8e8', 'g7g6', 'g7g5', 'h7h5', 'c6c5', 'd7e5', 'd7f6', 'd7c5', 'f8f3', 'f8f6', 'f8f2', 'd8f6', 'f8f4', 'd8a5']","[0.5082839219143761, 0.49539752999711567, 0.46416128552924907, 0.45958548047804854, 0.4559296988800415, 0.4377296159574105, 0.4286889425850106, 0.4277873846879599, 0.4241860033205554, 0.4223883025523238, 0.41700770288330274, 0.41611281849809095, 0.415218486764101, 0.4098644115408538, 0.4071952805672289, 0.39130033495471916, 0.3764966567002889, 0.3764966567002889, 0.37132483661091226, 0.36192003565750486, 0.3602211364871788, 0.33681889732873044, 0.27154510710718377, 0.18651254549806995, 0.17189613488694255, 0.13391073492623923, 0.10225400583383587, 0.10057629832289083, 0.08144987765416223, 0.07793966348758313, 0.07741207977412268, 0.061105378420221235]",GW0SP9
rnbqkbnr/pp2pppp/8/3p4/2PQ4/8/PP2PPPP/RNB1KBNR w KQkq - 0 4,"['c4d5', 'd4d5', 'b1c3', 'g1f3', 'g2g3', 'e2e3', 'e2e4', 'c1g5', 'd4d1', 'c1f4', 'a2a3', 'c1d2', 'd4d3', 'h2h3', 'd4h4', 'c1e3', 'd4d2', 'b1d2', 'b2b4', 'b1a3', 'd4f4', 'h2h4', 'f2f3', 'b2b3', 'g1h3', 'a2a4', 'g2g4', 'd4e5', 'd4c3', 'd4c5', 'f2f4', 'd4e3', 'c4c5', 'e1d1', 'e1d2', 'c1h6', 'd4g7', 'd4g4', 'd4a7', 'd4b6', 'd4f6', 'd4e4']","[0.6060654870564154, 0.5722126153120402, 0.5513672504375507, 0.5321736834106171, 0.5064432832995209, 0.49631798655933523, 0.49539752999711567, 0.4944771046316658, 0.49355671670047907, 0.49079583987119135, 0.48619570897068454, 0.4852759384118717, 0.4742482461063748, 0.4714948226881868, 0.4705773918729125, 0.46141502858974687, 0.4568432147802496, 0.45227865991833244, 0.44499235158754635, 0.44408315815517135, 0.4386360651319824, 0.4377296159574105, 0.4368235823566406, 0.4286889425850106, 0.4214902195015801, 0.41343150341573687, 0.41164679702450635, 0.4063067778943678, 0.3939345129435846, 0.39305576011188204, 0.38605107056395144, 0.38430712075371815, 0.3816967754233412, 0.3721847977876407, 0.31181509311084854, 0.17400282193912264, 0.048562579965255204, 0.04495371501658807, 0.0447958973277337, 0.04249112822828516, 0.035600577769597685, 0.03143126112552902]",HI2Y6R
3r4/pp3kpp/5p2/3P2P1/8/1P3K2/P6P/4R3 b - - 0 33,"['d8d5', 'f6g5', 'd8d7', 'd8d6', 'g7g6', 'f7g6', 'b7b6', 'b7b5', 'h7h5', 'a7a6', 'a7a5', 'h7h6', 'f7f8', 'f6f5', 'd8a8', 'f7g8', 'd8g8', 'd8h8', 'd8c8', 'd8f8', 'd8b8', 'd8e8']","[0.6689139863954203, 0.5838871815019091, 0.545896437602999, 0.5082839219143761, 0.5027615319200139, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.4981589683200522, 0.49539752999711567, 0.4825172499538834, 0.4815979155878063, 0.4815979155878063, 0.4714948226881868, 0.4705773918729125, 0.4696601598181785, 0.46874313267512907, 0.4623301956955016, 0.4179031343602754]",8KUE64
8/4k3/2Pb4/4pK2/7p/4PQ2/7P/8 w - - 0 55,"['f3d1', 'f3d5', 'f5g6', 'f3g4', 'f3g2', 'f3h5', 'e3e4', 'f3e4', 'f3f2', 'f3e2', 'f3h1', 'f3h3', 'f5g5', 'f3f1', 'f5e4', 'h2h3', 'c6c7', 'f5g4', 'f3g3', 'f3f4']","[1.0, 1.0, 0.9918191947481653, 0.9862274944602886, 0.9771507266687827, 0.9752704477738143, 0.9732396771494158, 0.9723629361257162, 0.96026585176412, 0.96026585176412, 0.9572082447616648, 0.9534387084561177, 0.9532749754520927, 0.9514374200347449, 0.9502325732557166, 0.9473714646201228, 0.9313051425398847, 0.9259381496681414, 0.5239152574834706, 0.5156437324214209]",5LQL68
8/8/8/8/1N6/k3K2P/p7/Q7 b - - 0 48,"['a3a4', 'a3b4', 'a3b3']","[0.024818512215081467, 0.021492656773662744, 0.012039500552054883]",DP3MCV
r5k1/pp4pp/3q4/8/5P2/4R1K1/1P5P/8 b - - 0 28,"['d6g6', 'd6d4', 'a8d8', 'd6d2', 'd6d1', 'a8f8', 'd6h6', 'd6b4', 'a8c8', 'g7g5', 'a7a6', 'b7b6', 'b7b5', 'd6d5', 'd6a6', 'g7g6', 'd6c5', 'd6c6', 'd6b6', 'g8f8', 'd6d8', 'h7h6', 'h7h5', 'a8b8', 'd6f8', 'g8f7', 'a7a5', 'd6f6', 'd6c7', 'g8h8', 'd6d7', 'd6b8', 'a8e8', 'd6f4', 'd6e6', 'd6e5', 'd6a3', 'd6d3', 'd6e7']","[0.9724617136930235, 0.9713560423949132, 0.9713560423949132, 0.969886382058775, 0.9694532252486708, 0.9693439966639734, 0.9689032882771671, 0.9687921565406382, 0.9681172520126624, 0.9676594964186994, 0.9667248550506684, 0.9652738299541792, 0.9650261337984726, 0.9649016480280658, 0.9649016480280658, 0.9642727883320891, 0.9631134021169137, 0.962982369336579, 0.962982369336579, 0.9617827673052204, 0.9601251223887283, 0.9599839153522702, 0.9597000623969232, 0.9582516333341273, 0.9582516333341273, 0.9581040813009303, 0.9570571703188654, 0.9517765466225969, 0.9464459479923958, 0.944741213373952, 0.9425882628426288, 0.9413809586159809, 0.9179974659215383, 0.7639725089990631, 0.6191718321143753, 0.5677001476173855, 0.5622703840425896, 0.5413288883579234, 0.522078114090291]",FR5090
2k1r1nr/pb1pqpp1/1pn4p/2b1P3/P1Bp4/1P3N2/1B3PPP/RN1QR1K1 w - - 4 17,"['a4a5', 'b1d2', 'b1a3', 'c4f1', 'c4d5', 'h2h3', 'c4d3', 'd1c1', 'c4b5', 'e1e2', 'd1d3', 'g1f1', 'b2a3', 'a1a2', 'b3b4', 'b2c1', 'd1c2', 'h2h4', 'f3d4', 'a1a3', 'g1h1', 'b2d4', 'c4e2', 'g2g3', 'd1e2', 'e1f1', 'g2g4', 'e5e6', 'e1e4', 'f3d2', 'd1d2', 'b1c3', 'b2c3', 'c4a6', 'c4f7', 'f3h4', 'c4e6', 'f3g5', 'e1e3', 'd1d4']","[0.6881849068891515, 0.6631811026712696, 0.6623581358171662, 0.6440107489122191, 0.6423206501894636, 0.6380799643424951, 0.6295343100667656, 0.6200396776969423, 0.6174338599757672, 0.6043059266170111, 0.603425129353426, 0.6016615267275047, 0.5963550316463674, 0.5829922971166973, 0.5820968656397246, 0.5749143902876699, 0.5713110574149894, 0.5622703840425896, 0.5550076484124536, 0.5147240615881282, 0.5138042910293155, 0.511044443209752, 0.5092041601288086, 0.49079583987119135, 0.48067870579756605, 0.4513666864926168, 0.44499235158754635, 0.4295909740554304, 0.4063067778943678, 0.4063067778943678, 0.3157793377114481, 0.29777313012875556, 0.29546848557860633, 0.2796306260994816, 0.23602749100093695, 0.18263344241323198, 0.17935860527856373, 0.14771073929444967, 0.1400029530333191, 0.13391073492623923]",QB0E2C
rnbq1rk1/pp3ppp/2p5/3p4/8/1BQ2N2/PP3PPP/2KR3R w - - 0 12,"['h2h4', 'd1e1', 'h1e1', 'b3c2', 'h2h3', 'g2g4', 'c3d3', 'h1g1', 'c1b1', 'a2a4', 'c3d4', 'a2a3', 'c3e5', 'd1d3', 'c3d2', 'd1d4', 'h1f1', 'c3b4', 'd1g1', 'd1d2', 'd1f1', 'g2g3', 'f3d4', 'c3e3', 'b3a4', 'f3e5', 'c1c2', 'f3e1', 'f3g1', 'c3c2', 'f3d2', 'c1d2', 'b3c4', 'c3c5', 'c3e1', 'b3d5', 'd1d5', 'c3c4', 'f3h4', 'f3g5', 'c3c6', 'c3f6', 'c3g7', 'c3a5']","[0.30241330468885935, 0.29393782392203827, 0.28560262776338907, 0.27814961942773136, 0.27814961942773136, 0.2730042477661579, 0.27227406568891394, 0.26647680798493956, 0.26575770228885515, 0.2558210792216864, 0.2551207276169529, 0.25442163783820854, 0.25442163783820854, 0.2516379230381391, 0.2488744990616516, 0.24818682246504542, 0.24681529249348733, 0.23802513721984941, 0.23802513721984941, 0.23802513721984941, 0.23602749100093695, 0.23536418926249292, 0.2340414606810215, 0.23272390323804226, 0.23206706534704952, 0.22945266703370382, 0.22492742421785805, 0.22300753025901537, 0.21983373956127034, 0.21731815726726345, 0.21606818783516446, 0.21606818783516446, 0.21234958051732766, 0.2105078875691775, 0.20685972352259474, 0.11174781242532256, 0.10603244788021299, 0.10361398030487234, 0.0889053425473339, 0.08255860336706944, 0.06413060406412313, 0.056032737915242325, 0.052812422070430465, 0.04907551589857312]",2YFWCF
8/p6p/2p3p1/3p2K1/8/3k4/3b4/8 w - - 2 41,"['g5f6', 'g5h4', 'g5g4']","[0.035727211667910985, 0.00892989780374992, 0.0]",NLOUPM
r2qk2r/1pp3pp/p1p5/4bp2/4n3/2P2Q1P/PP3PP1/RNB2RK1 b kq - 0 12,"['d8f6', 'e8g8', 'h8f8', 'd8d7', 'd8d5', 'g7g6', 'd8c8', 'd8d6', 'e5f6', 'a6a5', 'b7b5', 'd8e7', 'b7b6', 'e4c5', 'g7g5', 'e5d6', 'e4d6', 'h7h5', 'h8g8', 'h7h6', 'e8e7', 'a8b8', 'e4f6', 'e4g5', 'e4f2', 'c6c5', 'e4c3', 'e5h2', 'e5g3', 'a8a7', 'd8h4', 'e4g3', 'e5d4', 'e5f4', 'e5c3', 'e8f7', 'e4d2', 'a8c8', 'e8f8', 'f5f4', 'd8b8', 'd8g5', 'e8d7', 'd8d4', 'd8d3', 'd8d1', 'd8d2']","[0.6465391720148663, 0.6406270050754315, 0.623503343299711, 0.6174338599757672, 0.6095763271311208, 0.5945811119487451, 0.5604570759825421, 0.5586421525846197, 0.5422429789460687, 0.5404145195219514, 0.5294226081270875, 0.5082839219143761, 0.4926363724400336, 0.4696601598181785, 0.4605001214877426, 0.454103562397001, 0.44408315815517135, 0.4377296159574105, 0.43139643471891215, 0.39922126818820586, 0.39130033495471916, 0.39130033495471916, 0.29393782392203827, 0.2730042477661579, 0.22173410747470712, 0.2092866151375503, 0.20807056065774177, 0.2062562611938536, 0.19045484200262652, 0.18539779231227405, 0.1809902538736936, 0.17506378427288877, 0.17242090445576874, 0.1692912623296785, 0.1533603059112063, 0.14358734593333494, 0.1417856942140951, 0.1322117556602187, 0.11965646568318677, 0.11321813012886112, 0.10293200474653547, 0.0904079365368638, 0.09010559942406182, 0.08424745343669515, 0.07954221878235157, 0.07507822752621851, 0.06775856494525972]",L3MKE7
6k1/pp3pp1/2p1r3/8/5B2/2P3P1/PP3K1P/8 w - - 1 33,"['f4e3', 'h2h4', 'b2b3', 'f4c1', 'f4d2', 'a2a4', 'h2h3', 'a2a3', 'c3c4', 'f4g5', 'f4c7', 'b2b4', 'f4b8', 'g3g4', 'f2f1', 'f2f3', 'f2g1', 'f2g2', 'f4e5', 'f4h6', 'f4d6']","[0.1927360397463046, 0.1915928504041009, 0.18651254549806995, 0.18484234856825787, 0.1831837401142804, 0.18208442933129432, 0.1761298362785808, 0.1761298362785808, 0.17242090445576874, 0.17189613488694255, 0.17137263173985912, 0.1698097103394629, 0.1692912623296785, 0.1692912623296785, 0.1672300700782952, 0.15288283121406654, 0.11583180176076446, 0.09794280511446124, 0.08368104652783925, 0.08228014108429627, 0.07741207977412268]",C5ZZM7
r4b1r/pp1k2pp/2n1p3/2Ppn3/1P3Q2/P1N1B2P/5PP1/1R3RK1 b - - 0 17,"['d7e8', 'a7a6', 'h7h5', 'g7g5', 'b7b5', 'f8e7', 'h8g8', 'e5d3', 'e5c4', 'd7c8', 'e5g6', 'a8e8', 'a7a5', 'b7b6', 'a8c8', 'd7e7', 'f8d6', 'a8d8', 'f8c5', 'd5d4', 'a8b8', 'd7d8', 'h7h6', 'g7g6', 'e5f7', 'c6d4', 'd7c7', 'c6e7', 'e5g4', 'c6a5', 'c6d8', 'e5f3', 'c6b4', 'c6b8']","[0.09379438122652484, 0.09348188324070156, 0.09162643894872474, 0.0851035919775297, 0.07927305137721596, 0.07507822752621851, 0.07507822752621851, 0.07482293812793234, 0.07406185033185864, 0.07406185033185864, 0.07330789078382272, 0.06916748505642234, 0.06706412608595291, 0.06546938490211807, 0.06457400649394152, 0.06347081567518353, 0.06325229595848025, 0.06281735969426522, 0.061105378420221235, 0.06089447299741191, 0.06068424846587306, 0.056032737915242325, 0.05299691532751344, 0.04907551589857312, 0.04771897627338734, 0.04771897627338734, 0.04495371501658807, 0.04448184481402617, 0.04401469946699421, 0.04264118860088395, 0.04249112822828516, 0.04116311434515019, 0.04029993760307693, 0.03959389505112215]",55CAAA
r1bq1rk1/pp3pp1/3p1n1p/2pPn3/1b5B/2N1P3/PPB1NPPP/R2QK2R b KQ - 3 11,"['e5g6', 'b4a5', 'a7a6', 'f8e8', 'c8d7', 'd8e7', 'b7b6', 'e5c4', 'g7g5', 'b7b5', 'a8b8', 'c8g4', 'b4c3', 'a7a5', 'c5c4', 'g8h8', 'g7g6', 'e5d7', 'e5g4', 'h6h5', 'd8d7', 'd8a5', 'd8b6', 'd8c7', 'd8e8', 'c8h3', 'e5c6', 'e5f3', 'b4a3', 'c8e6', 'c8f5', 'e5d3', 'f6g4', 'f6d5', 'f6e4', 'f6d7', 'f6h5', 'f6h7', 'f6e8']","[0.477921885909709, 0.46874313267512907, 0.46874313267512907, 0.46416128552924907, 0.46416128552924907, 0.4586711116420767, 0.45775702105393146, 0.4568432147802496, 0.4468118376315084, 0.4386360651319824, 0.4377296159574105, 0.43501278527292314, 0.4241860033205554, 0.41343150341573687, 0.410755311431655, 0.40364496835363256, 0.40010471851325186, 0.392177699072727, 0.37476952142308345, 0.32459507444197383, 0.30631122259226473, 0.30163710052985643, 0.2878617610188755, 0.2730042477661579, 0.2730042477661579, 0.26004961055879766, 0.1548000581683256, 0.14495105737956576, 0.12479122466512271, 0.12319149084862219, 0.11811367252912824, 0.11620943498073888, 0.09794280511446124, 0.09410781540650409, 0.09010559942406182, 0.08283792298901071, 0.072561005162597, 0.061105378420221235, 0.05943709526487312]",BKF2O8
2B5/p3bk2/8/1PPpB2p/3Pp1nP/2N5/2n1KP2/8 w - - 6 38,"['c8g4', 'b5b6', 'c5c6', 'e5h8', 'e2d2', 'e2d1', 'c3d5', 'c8b7', 'c8d7', 'e2f1', 'f2f4', 'f2f3', 'e5b8', 'e5f4', 'c8a6', 'e5g3', 'e5d6', 'e5c7', 'c3a4', 'c3a2', 'c8f5', 'c3d1', 'c3b1', 'c3e4', 'e5g7', 'e5h2', 'c8e6', 'e5f6']","[0.8630716599681828, 0.8307087376703215, 0.7455783621617914, 0.6786254827184693, 0.6490594228774123, 0.6295343100667656, 0.6191718321143753, 0.6156928792462818, 0.607822300927273, 0.531256867324871, 0.5285051773118131, 0.5119644756166626, 0.5009205189599892, 0.5, 0.49539752999711567, 0.4944771046316658, 0.4917160780856239, 0.48711557303526726, 0.477921885909709, 0.4295909740554304, 0.415218486764101, 0.41343150341573687, 0.4018735643137257, 0.3983384732724953, 0.30787822162318473, 0.27373565145955325, 0.21420301444757306, 0.18153670008412837]",HGS2BP
rnbqkbnr/pp2pppp/2p5/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3,"['d2d4', 'g1f3', 'e4d5', 'f1d3', 'a2a4', 'e4e5', 'f2f4', 'd2d3', 'h2h4', 'h2h3', 'a2a3', 'g2g3', 'd1f3', 'a1b1', 'f1e2', 'b2b3', 'f2f3', 'd1e2', 'd1h5', 'g1e2', 'b2b4', 'g1h3', 'e1e2', 'c3e2', 'g2g4', 'c3a4', 'c3b1', 'c3d5', 'c3b5', 'f1b5', 'f1c4', 'f1a6', 'd1g4']","[0.5321736834106171, 0.5266697440308632, 0.5165632973121441, 0.5128844269647328, 0.5027615319200139, 0.5027615319200139, 0.5018410316799476, 0.5, 0.49907948104001076, 0.49631798655933523, 0.4944771046316658, 0.49355671670047907, 0.4825172499538834, 0.477921885909709, 0.4742482461063748, 0.4623301956955016, 0.4504550396254112, 0.4468118376315084, 0.4341080334601539, 0.4259857125367345, 0.4223883025523238, 0.4205926555346196, 0.41611281849809095, 0.39130033495471916, 0.3904236728688792, 0.3627707844161063, 0.36107015153620403, 0.2105078875691775, 0.1799012073028387, 0.16017373139259594, 0.15051371328484564, 0.1347671251678204, 0.03472617004582074]",VY1JKB
