FEN,Move,Win Probability
2r2rk1/pp3ppp/3q1n2/2ppnN2/6b1/1BPP2P1/PPQN2PP/R4RK1 b - - 8 15,"['g4f5', 'd6c7', 'd6e6', 'd6d7', 'd6d8', 'd6b6', 'd6b8', 'd6a6', 'e5f3', 'f8d8', 'g4d1', 'c8c6', 'e5c4', 'c5c4', 'e5d3', 'g4e2', 'b7b5', 'd6c6', 'c8d8', 'f6e4', 'f6e8', 'h7h5', 'b7b6', 'c8b8', 'h7h6', 'a7a6', 'e5d7', 'f8e8', 'g4f3', 'c8c7', 'a7a5', 'g4h5', 'c8e8', 'c8a8', 'g4h3', 'e5g6', 'f6h5', 'd5d4', 'g8h8', 'f6d7', 'e5c6', 'g7g6', 'd6e7', 'g7g5']","[0.6680980166875132, 0.5758139966794447, 0.5595498132599205, 0.5440703011199586, 0.5358387144707508, 0.4223883025523238, 0.4214902195015801, 0.38954771790854137, 0.3426002061577233, 0.12319149084862219, 0.11620943498073888, 0.10673252134178429, 0.10395646446270596, 0.10361398030487234, 0.09794280511446124, 0.09379438122652484, 0.09101535279101453, 0.0904079365368638, 0.08980417354795867, 0.0889053425473339, 0.08654803604674943, 0.08200253407846159, 0.08062725610318067, 0.08035473751517275, 0.07981222090680473, 0.07793966348758313, 0.07662683689656646, 0.07636671651344662, 0.07533431702495696, 0.07507822752621851, 0.07330789078382272, 0.07330789078382272, 0.0715760679645217, 0.07084547782912387, 0.06940492607857218, 0.06413060406412313, 0.06347081567518353, 0.06260093933963423, 0.06195584660125636, 0.061105378420221235, 0.05943709526487312, 0.05841618363161599, 0.04890396888770138, 0.048223453377403025]"
r4rk1/pQ3pp1/7p/3p4/8/2N1q3/PP6/2K2R1R w - - 1 33,"['c1c2', 'c1b1', 'c1d1']","[0.5413288883579234, 0.5184020844121936, 0.17400282193912264]"
7r/p1p5/3k1n2/4p1pp/NP1bPp2/3R1P1P/1P4P1/2KR4 b - - 2 25,"['h8b8', 'g5g4', 'd6e7', 'h8g8', 'h8e8', 'h8d8', 'd6d7', 'd6e6', 'f6e8', 'h8h6', 'f6d7', 'h8c8', 'h8a8', 'h8f8', 'c7c6', 'd6c6', 'f6h7', 'h8h7', 'h5h4', 'a7a6', 'f6g8', 'a7a5', 'c7c5', 'f6g4', 'f6e4', 'f6d5']","[0.29623554941924907, 0.28861716692764805, 0.2693655907860994, 0.2693655907860994, 0.2614691522497748, 0.2509451617398634, 0.2488744990616516, 0.2488744990616516, 0.2488744990616516, 0.2475004199080585, 0.2475004199080585, 0.2454488673960863, 0.24408755556920003, 0.24205519274435705, 0.2407066986076838, 0.2400343786012863, 0.23802513721984941, 0.23010432245165907, 0.23010432245165907, 0.22428615873700553, 0.21296608731927869, 0.20029332613389939, 0.17189613488694255, 0.16066965780092213, 0.1500435305626528, 0.14268414971333432]"
r2qkb1r/3b2pp/3p4/2pPpp2/p2n1P2/1P1PB3/6PP/RN1QK1NR w KQkq - 0 14,"['e3d4', 'b3a4', 'b1d2', 'f4e5', 'a1a2', 'g1f3', 'b1a3', 'a1a3', 'h2h3', 'b1c3', 'h2h4', 'g1e2', 'a1a4', 'b3b4', 'e3f2', 'e1f2', 'g1h3', 'g2g3', 'd1h5', 'e3d2', 'e1f1', 'e3c1', 'g2g4', 'd1d2', 'e1d2', 'd1c1', 'd1e2', 'd1f3', 'd1g4', 'd1c2']","[0.3509405771225878, 0.33271896373429855, 0.30086202940252793, 0.2454488673960863, 0.22556999001192107, 0.22300753025901537, 0.2092866151375503, 0.20029332613389939, 0.19503797801426692, 0.19503797801426692, 0.1927360397463046, 0.1915928504041009, 0.18875753377152027, 0.18651254549806995, 0.18595452438873583, 0.18539779231227405, 0.18539779231227405, 0.18484234856825787, 0.17242090445576874, 0.17032942052712574, 0.1596790445050985, 0.15673687957968802, 0.15431891796545932, 0.1227943211955751, 0.12160941498126415, 0.11507973387664883, 0.07431475154930411, 0.06325229595848025, 0.035600577769597685, 0.023014273320480783]"
r1bqk2r/pppp1ppp/2n2n2/1B6/1b1PP3/2N2N2/PP3PPP/R1BQK2R b KQkq - 4 7,"['f6e4', 'b4c3', 'e8g8', 'a7a6', 'd7d5', 'c6e7', 'd7d6', 'h7h6', 'a8b8', 'b4a5', 'a7a5', 'c6a5', 'b7b6', 'f6h5', 'c6b8', 'e8f8', 'f6g4', 'h7h5', 'd8e7', 'f6g8', 'g7g6', 'h8g8', 'h8f8', 'b4f8', 'b4e7', 'e8e7', 'g7g5', 'c6d4', 'c6e5', 'b4a3', 'b4d6', 'f6d5', 'b4c5']","[0.5211593152406621, 0.511044443209752, 0.415218486764101, 0.4098644115408538, 0.40808439067529095, 0.3825661400242328, 0.3730455687844096, 0.3450924067173986, 0.3442607185634, 0.34177138985111283, 0.3401166567266681, 0.3376418641828339, 0.3229826967382582, 0.31498431756230216, 0.3055293955493827, 0.2970037651435491, 0.2924118006869085, 0.2916505347851929, 0.2796306260994816, 0.2759371730995885, 0.2628936897689216, 0.2516379230381391, 0.2340414606810215, 0.2074644899708633, 0.2050532483330516, 0.1831837401142804, 0.1672300700782952, 0.15625083235725656, 0.1347671251678204, 0.11773067562385076, 0.1139595988024229, 0.1085005324218955, 0.07820468799769881]"
r1bqk1nr/pp2ppbp/2np2p1/2p5/2B1PN2/2PP4/PP3PPP/RNBQK2R b KQkq - 2 6,"['e7e6', 'g8f6', 'a8b8', 'a7a6', 'b7b6', 'h7h6', 'c8d7', 'c6a5', 'd8c7', 'g8h6', 'd8a5', 'c6e5', 'd8d7', 'h7h5', 'g7h6', 'd8b6', 'g7e5', 'g7f8', 'g7f6', 'a7a5', 'c6b8', 'e7e5', 'e8f8', 'b7b5', 'd6d5', 'g6g5', 'f7f5', 'f7f6', 'e8d7', 'c8e6', 'c6d4', 'c8f5', 'g7d4', 'c8g4', 'g7c3', 'c6b4', 'c8h3']","[0.5394998785122574, 0.5376698043044984, 0.5349228039541688, 0.5321736834106171, 0.5266697440308632, 0.5257517538936253, 0.5229967635676993, 0.5202403732122675, 0.5174827500461167, 0.5101243359708437, 0.5082839219143761, 0.5055228953683342, 0.5055228953683342, 0.5009205189599892, 0.5009205189599892, 0.5, 0.49907948104001076, 0.49079583987119135, 0.48067870579756605, 0.47975962678773254, 0.477921885909709, 0.4696601598181785, 0.4605001214877426, 0.40364496835363256, 0.3721847977876407, 0.36874985869153015, 0.3636223933562701, 0.3359969188321382, 0.2621807972981455, 0.2551207276169529, 0.1646818444286432, 0.15098510766141626, 0.13867824357894337, 0.13391073492623923, 0.13305894980200939, 0.13305894980200939, 0.09729410510118269]"
3r3k/p5p1/5p2/8/1PR5/7p/P2p4/K2N4 w - - 0 49,"['c4h4', 'c4c3', 'c4g4', 'c4f4', 'c4e4', 'a1b2', 'c4c5', 'a1b1', 'a2a4', 'b4b5', 'a2a3', 'd1f2', 'd1b2', 'c4c8', 'd1e3', 'd1c3', 'c4c2', 'c4d4', 'c4c7', 'c4c6', 'c4c1']","[0.522078114090291, 0.4733302559691369, 0.299315297273592, 0.23010432245165907, 0.1777384739863237, 0.15288283121406654, 0.14678605153511798, 0.13391073492623923, 0.12043437276310126, 0.1139595988024229, 0.10225400583383587, 0.09664924125145591, 0.08801463783567065, 0.0510005636521646, 0.043705873137683204, 0.04339911529907742, 0.03472617004582074, 0.03303906778830695, 0.03199659605134719, 0.03154354953282035, 0.0]"
rn2kbnr/pb3ppp/1p1p4/2q1p3/4P3/2NBBN2/PPP2PPP/R2Q1RK1 b kq - 1 8,"['c5c8', 'c5c7', 'c5b4', 'c5a5', 'c5c3', 'c5c6', 'c5e3', 'g8f6', 'b8c6', 'b8d7', 'b8a6', 'a7a6', 'f8e7', 'h7h6', 'b7c6', 'h7h5', 'f7f5', 'g7g6', 'b7e4', 'e8e7', 'b7c8', 'a7a5', 'g8h6', 'f7f6', 'e8d8', 'd6d5', 'b7a6', 'e8d7', 'g8e7', 'g7g5', 'c5d4', 'c5a3', 'b6b5', 'c5d5', 'b7d5', 'c5c4', 'c5b5']","[0.3534608279851336, 0.3335369512006218, 0.18819434981303984, 0.18539779231227405, 0.07900471664273123, 0.06940492607857218, 0.06390996781621955, 0.05985012182014682, 0.05681687720615164, 0.054684939853249404, 0.05449490838555032, 0.05355405200760416, 0.05355405200760416, 0.0518990194116169, 0.04907551589857312, 0.04771897627338734, 0.0468893050040472, 0.04639810436439451, 0.045112062444817136, 0.04432560682082287, 0.0441698922302976, 0.04279175523833534, 0.04234157258354487, 0.04219252013317121, 0.04174836666587267, 0.041601311728104995, 0.040442586480336384, 0.03862533331408574, 0.03794746924107789, 0.03675601122110872, 0.03598178192927293, 0.03303906778830695, 0.02916066837085185, 0.025177480968960775, 0.0244645330263088, 0.021261570171601518, 0.01768579789326391]"
r1bq1rk1/pp3ppp/5b2/P1np4/3Np3/2P1P1P1/1P3P1P/RN1QKB1R w KQ - 1 12,"['b1d2', 'b2b4', 'h2h4', 'b1a3', 'h2h3', 'a1a3', 'a1a2', 'd1h5', 'd1c2', 'f1e2', 'h1g1', 'f1b5', 'a5a6', 'd4b5', 'd4b3', 'b2b3', 'e1d2', 'd4c2', 'c3c4', 'f2f4', 'f2f3', 'g3g4', 'f1g2', 'd1d2', 'a1a4', 'd1e2', 'e1e2', 'd1c1', 'f1c4', 'd4f3', 'd4e2', 'd4e6', 'f1h3', 'd4f5', 'f1a6', 'd4c6', 'd1a4', 'd1b3', 'f1d3', 'd1d3', 'd1g4', 'd1f3']","[0.4395429240174578, 0.43139643471891215, 0.4268863060981179, 0.4241860033205554, 0.4089741028083871, 0.40364496835363256, 0.4018735643137257, 0.39745633901469424, 0.3904236728688792, 0.38954771790854137, 0.3851787270047305, 0.38430712075371815, 0.3816967754233412, 0.37909324354871493, 0.3764966567002889, 0.37563269360828333, 0.3484286119517737, 0.33027105825721115, 0.3229826967382582, 0.316575437139995, 0.31498431756230216, 0.30086202940252793, 0.2558210792216864, 0.22556999001192107, 0.2204658929761425, 0.2092866151375503, 0.1831837401142804, 0.1809902538736936, 0.11138285043817636, 0.11138285043817636, 0.10024370428970547, 0.09101535279101453, 0.08311810201340841, 0.08200253407846159, 0.07900471664273123, 0.07610740636397961, 0.070362251071588, 0.06325229595848025, 0.06217018468833663, 0.05262853537987727, 0.0447958973277337, 0.04309441347327758]"
7k/8/1Q6/2P5/8/1b4P1/1P5P/2R3K1 b - - 0 40,"['b3a4', 'h8g8', 'b3e6', 'b3c4', 'h8g7', 'b3a2', 'b3g8', 'h8h7', 'b3f7', 'b3d5', 'b3c2', 'b3d1']","[0.008062162985670418, 0.0023879502286832666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Nn5r/pp1k1ppp/8/b3P1B1/6b1/2PP3P/PPn1B1P1/R3K2R w KQ - 3 16,"['e1d2', 'e1d1', 'e1f2', 'e1f1']","[0.7106262503410556, 0.676211637485054, 0.6689139863954203, 0.5101243359708437]"
r1bq1rk1/pp3ppp/2nbpn2/3p4/3P4/2P2NB1/PP2BPPP/RN1Q1RK1 b - - 6 9,"['f6e4', 'd6g3', 'd6e7', 'f8e8', 'a8b8', 'a7a5', 'd6c7', 'g8h8', 'f6h5', 'c6e7', 'h7h6', 'f6g4', 'a7a6', 'd8e7', 'g7g6', 'd8c7', 'd6b8', 'f6e8', 'c6a5', 'b7b6', 'c6b8', 'd8d7', 'h7h5', 'b7b5', 'g7g5', 'e6e5', 'd8b6', 'c6d4', 'c6b4', 'd6b4', 'd6c5', 'c8d7', 'd6e5', 'd6a3', 'f6d7', 'd6f4', 'd8a5', 'd8e8', 'c6e5']","[0.48343670268785593, 0.48067870579756605, 0.48067870579756605, 0.4733302559691369, 0.4705773918729125, 0.4650771960458313, 0.46416128552924907, 0.46324561670945996, 0.46324561670945996, 0.4605001214877426, 0.45958548047804854, 0.45775702105393146, 0.4568432147802496, 0.4559296988800415, 0.4559296988800415, 0.4559296988800415, 0.45227865991833244, 0.4504550396254112, 0.44954372531791664, 0.4486327495624493, 0.4468118376315084, 0.4431743390334964, 0.4404501867400794, 0.37476952142308345, 0.34926500611173045, 0.18263344241323198, 0.18208442933129432, 0.17453266737981438, 0.14864023737321475, 0.13391073492623923, 0.13263477974550358, 0.11734875537361839, 0.11138285043817636, 0.10814488465274963, 0.10814488465274963, 0.10708408206807812, 0.10259250923752877, 0.0851035919775297, 0.08368104652783925]"
rnbr2k1/ppp2ppp/5b2/4N3/8/2N5/PPP1PPPP/R3KB1R b KQ - 0 9,"['f6e5', 'b8d7', 'b8a6', 'b8c6', 'c8e6', 'c8d7', 'd8d6', 'c8f5', 'g8f8', 'g7g6', 'b7b6', 'd8e8', 'a7a5', 'c7c5', 'h7h6', 'c7c6', 'd8f8', 'd8d4', 'a7a6', 'h7h5', 'b7b5', 'g7g5', 'f6e7', 'f6g5', 'f6h4', 'c8h3', 'd8d2', 'd8d7', 'd8d5', 'c8g4', 'g8h8', 'd8d3', 'd8d1']","[0.8719558516110355, 0.48803552438333736, 0.47975962678773254, 0.47516641034760715, 0.4733302559691369, 0.4724124461074959, 0.4724124461074959, 0.4714948226881868, 0.4714948226881868, 0.46324561670945996, 0.46324561670945996, 0.4605001214877426, 0.4586711116420767, 0.45775702105393146, 0.45775702105393146, 0.45227865991833244, 0.4468118376315084, 0.44499235158754635, 0.44499235158754635, 0.44226590014833245, 0.43501278527292314, 0.42508560971233006, 0.4241860033205554, 0.415218486764101, 0.4027589492090241, 0.36107015153620403, 0.2366920834084017, 0.23338203523147633, 0.1777384739863237, 0.1463255076659773, 0.12082496069766191, 0.09348188324070156, 0.09101535279101453]"
5rk1/p4p2/3p1q2/3Qn1p1/2P4p/5PP1/P6P/R4RK1 w - - 0 22,"['f3f4', 'g3h4', 'a1d1', 'c4c5', 'a1e1', 'd5e4', 'a1b1', 'a1c1', 'a2a4', 'a2a3', 'd5d1', 'g1g2', 'g1h1', 'd5b7', 'g3g4', 'h2h3', 'f1f2', 'g1f2', 'd5d2', 'd5b5', 'd5a5', 'f1d1', 'f1e1', 'f1c1', 'f1b1', 'd5e5', 'd5f7', 'd5c6', 'd5c5', 'd5d6', 'd5d3', 'd5a8', 'd5e6', 'd5d4']","[0.7455783621617914, 0.7284548928928163, 0.716645830340413, 0.7075881993130916, 0.6818291390214323, 0.6721676854974802, 0.6656440579806581, 0.6623581358171662, 0.6303926375862742, 0.6086996650452808, 0.6016615267275047, 0.6007787318117942, 0.5998952814867482, 0.5981264356862743, 0.5550076484124536, 0.5027615319200139, 0.5, 0.4843562675785791, 0.4724124461074959, 0.46874313267512907, 0.4322998523826144, 0.39657487064657393, 0.35937299492456853, 0.3343559420193419, 0.3126057645251697, 0.11811367252912824, 0.09224121164974286, 0.08801463783567065, 0.08713200331229709, 0.08683957548832155, 0.08539072061698, 0.08117482411679905, 0.06940492607857218, 0.06660484252279597]"
rnbqk1nr/ppppppbp/6p1/8/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq - 3 3,"['d7d5', 'c7c5', 'c7c6', 'g8f6', 'd7d6', 'a7a6', 'b8c6', 'h7h6', 'a7a5', 'f7f5', 'e7e6', 'b7b5', 'b7b6', 'h7h5', 'b8a6', 'g7f6', 'f7f6', 'g8h6', 'g7f8', 'e8f8', 'g7h6', 'e7e5', 'g6g5', 'g7d4', 'g7e5']","[0.4944771046316658, 0.46324561670945996, 0.45319095389262815, 0.4477221183422858, 0.4477221183422858, 0.44135784741538037, 0.4277873846879599, 0.4223883025523238, 0.4223883025523238, 0.41879910735532644, 0.40808439067529095, 0.4045316164166957, 0.4045316164166957, 0.39922126818820586, 0.392177699072727, 0.3851787270047305, 0.38430712075371815, 0.3773614059219311, 0.3721847977876407, 0.37132483661091226, 0.35010232921435797, 0.34926500611173045, 0.2931742312343752, 0.12519393136296175, 0.07507822752621851]"
r2qk1nr/ppn1b3/4pp2/1N1p1bpp/3P4/P2BP3/1PP2PPP/R2QK1NR w KQkq - 0 10,"['b5c7', 'h2h4', 'd3f5', 'b5c3', 'a3a4', 'a1c1', 'c2c3', 'f2f4', 'g2g3', 'h2h3', 'd1d2', 'd1e2', 'f2f3', 'g1e2', 'a1b1', 'c2c4', 'd1c1', 'b2b4', 'd3e2', 'g1f3', 'b2b3', 'e1d2', 'd3f1', 'e1f1', 'd1b1', 'g2g4', 'g1h3', 'e1e2', 'a1a2', 'd1f3', 'b5a7', 'b5d6', 'e3e4', 'd3c4', 'd3e4', 'd1h5', 'd1g4']","[0.2032585059804044, 0.194460547256589, 0.19216379718622123, 0.18988777926009714, 0.17935860527856373, 0.17666477329070246, 0.17242090445576874, 0.17032942052712574, 0.1692912623296785, 0.16825814846895443, 0.16569737414693786, 0.16518898331549792, 0.16166523433017105, 0.16017373139259594, 0.15820240791194307, 0.15625083235725656, 0.15383900101915987, 0.1533603059112063, 0.15288283121406654, 0.14678605153511798, 0.1444952958104478, 0.14313515442187086, 0.14044687122292038, 0.14044687122292038, 0.1347671251678204, 0.1288686029157785, 0.12722419810075325, 0.12681590743681204, 0.12398914293212276, 0.12200328516817582, 0.10293200474653547, 0.09010559942406182, 0.08539072061698, 0.056619880941334966, 0.056032737915242325, 0.056032737915242325, 0.04087344053423547]"
8/1b2n2k/p7/1pp2p2/5P2/1P4B1/P1P1N2P/2K5 w - - 0 29,"['c1b2', 'g3f2', 'c1d2', 'g3h4', 'c2c4', 'a2a3', 'g3e1', 'e2c3', 'c1d1', 'e2g1', 'c1b1', 'c2c3', 'h2h3', 'a2a4', 'h2h4', 'b3b4', 'e2d4']","[0.6086996650452808, 0.597241050790976, 0.5901355884591462, 0.5713110574149894, 0.5667962794387497, 0.5586421525846197, 0.5577340998516674, 0.5540980866051488, 0.5495449603745888, 0.5486333135073832, 0.545896437602999, 0.545896437602999, 0.5431567852197504, 0.53675438329054, 0.5257517538936253, 0.5018410316799476, 0.19677806152333344]"
r1bq1rk1/ppp2ppp/2np4/4p3/2B1P2b/2NPnPP1/PPPQ3P/R3K1NR w KQ - 0 10,"['d2e3', 'c4f7', 'c3d5', 'c4b3', 'f3f4', 'c3e2', 'g1e2', 'g3h4', 'd2f2', 'c3d1', 'g1h3', 'a1c1', 'c4e6', 'b2b3', 'a2a3', 'c4d5', 'a1b1', 'b2b4', 'c3b5', 'a1d1', 'c4a6', 'a2a4', 'c3b1', 'c4b5', 'c3a4', 'd2c1', 'e1f2', 'e1e2', 'd3d4', 'd2e2', 'd2d1', 'd2g2', 'h2h3']","[0.4063067778943678, 0.11433191756669464, 0.11174781242532256, 0.1085005324218955, 0.09537095564452558, 0.09442218785969808, 0.09348188324070156, 0.09193336344131242, 0.09132043609196017, 0.08771953240973313, 0.08172578028842459, 0.07559120864726726, 0.07482293812793234, 0.07330789078382272, 0.07108823921840635, 0.07084547782912387, 0.07060348244255998, 0.06916748505642234, 0.06916748505642234, 0.06752634758661236, 0.06683411803730022, 0.06546938490211807, 0.0647967765156155, 0.06390996781621955, 0.06303447793315453, 0.061316966610996726, 0.061316966610996726, 0.05392854145197801, 0.052812422070430465, 0.050292416024200315, 0.038352804077394276, 0.020731780604849925, 0.014438037809715087]"
r1bq1rk1/ppp3pp/5N2/2b5/5Q2/1P1P2P1/PBn2PBP/R3R1K1 b - - 0 16,"['g8h8', 'g7f6', 'f8f6', 'd8f6', 'g8f7']","[0.3459250441719453, 0.22300753025901537, 0.22173410747470712, 0.11321813012886112, 0.06916748505642234]"
1r6/p1p5/3k1n2/6pp/NP1RPp2/5P1P/1P4P1/2K5 b - - 0 27,"['d6e5', 'd6e7', 'd6c6', 'd6e6', 'f6d5']","[0.29854364172866005, 0.2916505347851929, 0.27373565145955325, 0.2708173738774771, 0.09859535787713025]"
r1r3k1/2q1bppp/p3p3/1p1b4/2nN2PP/1B3P1K/PPP1Q3/2BR1R2 b - - 1 19,"['a8b8', 'e7d6', 'e7f6', 'c8e8', 'c7b7', 'c7b8', 'c7c5', 'e7f8', 'b5b4', 'c8d8', 'g7g6', 'e7b4', 'e7c5', 'd5b7', 'c7b6', 'c8b8', 'h7h6', 'c8f8', 'e7d8', 'c7a7', 'c7d7', 'g8h8', 'c7d6', 'c7a5', 'h7h5', 'c7d8', 'a8a7', 'd5c6', 'g8f8', 'c4d6', 'c4b6', 'c4a5', 'a6a5', 'e6e5', 'c4e5', 'g7g5', 'f7f6', 'c4b2', 'f7f5', 'e7h4', 'c4d2', 'c4a3', 'c7e5', 'e7a3', 'c4e3', 'd5f3', 'e7g5', 'd5e4', 'c7c6', 'c7f4', 'c7g3', 'c7h2']","[0.5622703840425896, 0.5559168418448287, 0.5550076484124536, 0.5504562746820834, 0.5495449603745888, 0.5495449603745888, 0.545896437602999, 0.5449835205954683, 0.5413288883579234, 0.5385849714102531, 0.53675438329054, 0.5358387144707508, 0.5349228039541688, 0.5330902822991305, 0.5330902822991305, 0.531256867324871, 0.5294226081270875, 0.5266697440308632, 0.522078114090291, 0.5211593152406621, 0.5211593152406621, 0.5128844269647328, 0.5119644756166626, 0.5082839219143761, 0.5055228953683342, 0.5009205189599892, 0.5, 0.4926363724400336, 0.4917160780856239, 0.47975962678773254, 0.47884068475933794, 0.47608474251652944, 0.41611281849809095, 0.3983384732724953, 0.3939345129435846, 0.38867247514924735, 0.37390714490240246, 0.2878617610188755, 0.27373565145955325, 0.2154451591425247, 0.2074644899708633, 0.2044536974774852, 0.20266286491422758, 0.17242090445576874, 0.16825814846895443, 0.16066965780092213, 0.1463255076659773, 0.1458661617291349, 0.11029421425487995, 0.08920404718859543, 0.06637629759533209, 0.05964327369633404]"
8/1k6/4R3/3PP1P1/5N2/5P2/1PK5/8 w - - 1 53,"['c2d3', 'e6g6', 'f4g6', 'd5d6', 'b2b3', 'e6a6', 'e6c6', 'b2b4', 'f4g2', 'f4d3', 'c2c1', 'c2c3', 'f4h3', 'f4h5', 'g5g6', 'e6f6', 'c2d2', 'c2b3', 'c2d1', 'f4e2', 'c2b1', 'e6d6', 'e6e7', 'e6h6', 'e6e8', 'e6b6']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9963710341695944, 0.9948023018412754, 0.9913586627179796, 0.9901458947919664]"
4r1k1/6p1/p3p2p/3pQp1R/3P1P2/2P3P1/q1K3P1/8 w - - 0 33,"['c2c1', 'c2d1', 'c2d3']","[0.18988777926009714, 0.16569737414693786, 0.13780095806432646]"
4rr1k/p2qbpp1/p4n1p/2ppB2P/3P4/2N1PP2/PPQ1KP2/6RR w - - 0 18,"['e2f1', 'c2d3', 'c2a4', 'e2e1', 'c2d2', 'h1h2', 'h1h4', 'd4c5', 'g1g2', 'a2a3', 'c2d1', 'b2b3', 'a2a4', 'g1d1', 'c2b1', 'c3b1', 'f3f4', 'e2d2', 'g1c1', 'e2d1', 'c3d1', 'c2c1', 'e5f6', 'c3a4', 'g1b1', 'c2b3', 'g1a1', 'g1e1', 'g1f1', 'g1g3', 'e2d3', 'e3e4', 'e5g3', 'e5f4', 'b2b4', 'e5h2', 'g1g7', 'h1h3', 'c3d5', 'g1g5', 'c3e4', 'c3b5', 'g1g4', 'g1g6', 'e5c7', 'e5d6', 'e5b8', 'c2h7', 'c2e4', 'c2f5', 'c2g6']","[0.5812008926446736, 0.5776116974476763, 0.5749143902876699, 0.5677001476173855, 0.5613639348680176, 0.5613639348680176, 0.5613639348680176, 0.5586421525846197, 0.5522778816577142, 0.5504562746820834, 0.5495449603745888, 0.545896437602999, 0.5422429789460687, 0.5422429789460687, 0.5413288883579234, 0.5413288883579234, 0.5394998785122574, 0.53675438329054, 0.5349228039541688, 0.5340066578563346, 0.5321736834106171, 0.5303398401818216, 0.5275875538925041, 0.5229967635676993, 0.5202403732122675, 0.519321294202434, 0.519321294202434, 0.5046024700028845, 0.5, 0.48987566402915633, 0.44226590014833245, 0.392177699072727, 0.37132483661091226, 0.35598925108778084, 0.3517797456776559, 0.3450924067173986, 0.28335416965958693, 0.2400343786012863, 0.23272390323804226, 0.20206852665869057, 0.20029332613389939, 0.1956167070159846, 0.1915928504041009, 0.1596790445050985, 0.15869338408054756, 0.13562813456382855, 0.12559775111922367, 0.10057629832289083, 0.10024370428970547, 0.0960081969682186, 0.09101535279101453]"
r7/ppp3pr/3p1n1p/4p2k/4P2P/2NP2R1/PPP2P2/2K3R1 b - - 7 21,"['a8g8', 'f6g8', 'f6d7', 'a8f8', 'd6d5', 'a8c8', 'a8h8', 'b7b5', 'a8d8', 'h7h8', 'a8e8', 'a7a5', 'a7a6', 'a8b8', 'c7c5', 'c7c6', 'g7g6', 'b7b6', 'f6e8', 'f6e4', 'f6g4', 'f6d5', 'g7g5', 'h5h4']","[0.3189701789020309, 0.2931742312343752, 0.28560262776338907, 0.2848519525637597, 0.27520211606290007, 0.24818682246504542, 0.2475004199080585, 0.24613144130277942, 0.2427313650702102, 0.24138030361930346, 0.24138030361930346, 0.2373579657373579, 0.2366920834084017, 0.23470217892023404, 0.23470217892023404, 0.23206706534704952, 0.22492742421785805, 0.2111204806304472, 0.18044508988832997, 0.1491067941104216, 0.13391073492623923, 0.11138285043817636, 0.10024370428970547, 0.0]"
r1br2k1/pp4pp/2p1p3/5p2/1nP1n3/5NP1/PP2PPBP/RN3RK1 w - - 0 12,"['b1c3', 'f1c1', 'a2a3', 'b1a3', 'f3e1', 'f3e5', 'a2a4', 'g2h1', 'f3h4', 'f1e1', 'e2e3', 'h2h3', 'h2h4', 'g2h3', 'g3g4', 'c4c5', 'g1h1', 'f3d2', 'b2b3', 'b1d2', 'f3d4', 'f3g5', 'f1d1']","[0.5640820298184349, 0.5595498132599205, 0.5073636275599663, 0.48895555679024805, 0.467826316589383, 0.4477221183422858, 0.41700770288330274, 0.2693655907860994, 0.2621807972981455, 0.26004961055879766, 0.2551207276169529, 0.25302724901334644, 0.24818682246504542, 0.24613144130277942, 0.24613144130277942, 0.23470217892023404, 0.23338203523147633, 0.2204658929761425, 0.2154451591425247, 0.2044536974774852, 0.18484234856825787, 0.16620701810552085, 0.06637629759533209]"
8/p4kp1/4p2p/N1pr4/4K3/1P4b1/2P3P1/8 b - - 0 31,"['g3c7', 'h6h5', 'g3d6', 'd5f5', 'f7e8', 'f7e7', 'g3h2', 'd5g5', 'g3e1', 'g3h4', 'd5d4', 'g3b8', 'f7g8', 'd5d2', 'd5d1', 'g7g5', 'f7f8', 'g7g6', 'd5d7', 'g3f2', 'c5c4', 'f7f6', 'd5d6', 'd5d8', 'a7a6', 'd5h5', 'd5e5', 'f7g6', 'g3e5', 'g3f4', 'd5d3', 'e6e5']","[0.9352032234843844, 0.932935873914047, 0.9324736524133876, 0.9310692038259631, 0.9305950739214279, 0.9305950739214279, 0.9303568787858939, 0.92939651755744, 0.92939651755744, 0.9286682314002843, 0.9284239320354782, 0.9284239320354782, 0.9279330153788143, 0.9269418544037995, 0.9266921092161773, 0.9254315531912127, 0.9254315531912127, 0.9251770618720677, 0.9244087913527328, 0.9244087913527328, 0.9236332834865534, 0.9228504835073755, 0.9228504835073755, 0.9201877790931953, 0.9199169401993839, 0.9193727438968193, 0.9185501223458379, 0.9177198589157038, 0.8990901279053627, 0.8914994675781045, 0.7328028486085163, 0.6209067564512851]"
